relative_path	role	authoritative_status	scientific_stage	source_provenance	original_source_sha256	transformation	notes
.gitignore	documentation	DOCUMENTATION	project_provenance	SRC0001	bb72ad01ca96bbcdf2dc85c39d4f7cf18f3e31465602532c7a1424f698958e6d	byte-identical	
CHANGELOG.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	terminology status/documentation update; scientific contents unchanged	
CITATION.cff	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
config/analysis_config.yaml	documentation	DOCUMENTATION	project_provenance	SRC0002	5f1e7db015363b319b4786fc0551b1e7898d6c820162d0e80b18f00045d8a176	rc2 public documentation/metadata consolidation	
config/README.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/AUTHORITATIVE_ANALYSIS_MAP.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	terminology status/documentation update; scientific contents unchanged	
docs/DATA_LAYOUT.tsv	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/FIGURE_TERMINOLOGY_CLEANUP.md	documentation	DOCUMENTATION	figure_terminology_cleanup	RC2_FIGURE_TERMINOLOGY_CLEANUP	NOT_APPLICABLE	generated label-correction documentation; no scientific calculation	RESOLVED — label-only terminology correction completed; scientific data and geometry unchanged.
docs/FIGURE_TERMINOLOGY_CORRECTION.tsv	documentation	DOCUMENTATION	figure_terminology_cleanup	RC2_FIGURE_TERMINOLOGY_CLEANUP	NOT_APPLICABLE	generated label-correction documentation; no scientific calculation	RESOLVED — label-only terminology correction completed; scientific data and geometry unchanged.
docs/FILE_PROVENANCE.tsv	documentation	DOCUMENTATION	project_provenance	RC2_INDEX	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/GSE337039_RAW_PROCESSING.MD	documentation	DOCUMENTATION	gse337039_raw_validation	SRC0003	547937266b44674e5dec4bea8f2740fa168174858c509e19794dd1579e10726f	byte-identical	
docs/HISTORICAL_VS_FINAL_SCRIPTS.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	terminology status/documentation update; scientific contents unchanged	
docs/MATRIX_PROCESSING_BRANCHES.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/REPRODUCIBILITY_LEVELS.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/REPRODUCIBILITY_LIMITATIONS.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
docs/SUPPLEMENTARY_SOURCES.MD	documentation	DOCUMENTATION	project_provenance	SRC0004	131ccdf33872e990d498e1f031422caf9379a0fb970b71059a6f90397a09e43d	byte-identical	
docs/workflow.md	documentation	DOCUMENTATION	project_provenance	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
environment/current_Python_environment.tsv	environment_evidence	DOCUMENTATION	software_environment	SRC0005	adaf310d5cddbcb2da125f409fbba4a0fd0b10eaa5775fd8cbe8a70b6c414327	byte-identical	
environment/current_Python_environment.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0006	5d9c895929ceae01d7ea1fe91c352a7528e1caf82d0b1622437ee29db5ac7835	byte-identical	
environment/current_R_environment.tsv	environment_evidence	DOCUMENTATION	software_environment	SRC0008	464ba82084fe57de047546b7b5aaa191559351312abbbc0afac9b51c6d49a357	byte-identical	
environment/current_R_environment.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0009	305b88f8bcfa23e9cf67ebe60f617d5e3846c8aec58b9de5e7e327bf277958c1	byte-identical	
environment/historical/go_sessionInfo.txt	environment_evidence	DOCUMENTATION	go_mapping_enrichment	SRC0124	22289bf3537a447bee3e8df2ea0598b03f24eeb7d24083bdfc2e9a75241c0bed	byte-identical	
environment/historical/gse184114_sessionInfo.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0125	aa8a68f22a5195f3d1a63a2198efe1af092fb72e106fdaaa8887527b6a832b54	byte-identical	
environment/historical/gse273240_sessionInfo.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0126	aa8a68f22a5195f3d1a63a2198efe1af092fb72e106fdaaa8887527b6a832b54	byte-identical	
environment/historical/gse277812_sessionInfo.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0127	aa8a68f22a5195f3d1a63a2198efe1af092fb72e106fdaaa8887527b6a832b54	byte-identical	
environment/historical/meta_sessionInfo.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0128	aeae3ea0d7486edad1b581a029246086e456de917c4e1635e2c7203567dd042d	byte-identical	
environment/historical/resampling_sessionInfo.txt	environment_evidence	DOCUMENTATION	software_environment	SRC0129	1a63d3fed22461cc84fcd4d17bc2a4d2cfb5fbacb96bdfa168edb4ecc226ebb0	byte-identical	
environment/historical_Python_versions.tsv	environment_evidence	DOCUMENTATION	software_environment	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
environment/historical_R_versions.tsv	environment_evidence	DOCUMENTATION	software_environment	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
environment/README.md	environment_evidence	DOCUMENTATION	software_environment	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
environment/software_versions.tsv	environment_evidence	DOCUMENTATION	software_environment	RC2_DOCUMENTATION_FROM_ACCEPTED_RC1_AND_FORENSIC_FACTS	NOT_APPLICABLE	generated documentation/index; no scientific values recalculated	
figure_source_data/Figure1/figure_1a_sample_correlation.tsv	figure_source	AUTHORITATIVE	formal_wgcna_preservation	SRC0081	bfd004455f382ad5474c66b4415acc75c8678661522107266fa0512b23e28c35	byte-identical	
figure_source_data/Figure1/figure_1b_discovery_pca.tsv	figure_source	AUTHORITATIVE	formal_wgcna_preservation	SRC0082	4f08c3cf1ae0ef34735b04a64b68ea73fe8eb7d7b2c619cb84fc1e3be7e9f2c4	byte-identical	
figure_source_data/Figure1/figure_1c_gene_dendrogram_order.tsv	figure_source	AUTHORITATIVE	formal_wgcna_preservation	SRC0083	0fc2dcaf38c532e634ea806e2c0a246a3cc0c11f8c3d4d4068f829c2584da380	byte-identical	
