import_name	distribution	version	observed_environment	source_scripts
matplotlib	matplotlib	3.10.9	current_python	scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py
numpy	numpy	2.4.4	current_python	scripts/base_pipeline/08_exploratory_logcpm_pca.py; scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/17_summarize_gse337039.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/02b_cross_variety_consensus.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
pandas	pandas	3.0.2	current_python	scripts/base_pipeline/04_prepare_count_matrices.py; scripts/base_pipeline/05_count_qc.py; scripts/base_pipeline/06_build_design_tables.py; scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py; scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/17_summarize_gse337039.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/01_build_sample_design.py; scripts/legacy_discovery_pipeline/02b_cross_variety_consensus.py; scripts/legacy_discovery_pipeline/04_build_design_gse184114.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py; scripts/method_revision_v2/build_qc_go_audits_v2.py
scipy	scipy	1.17.1	current_python	scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
seaborn	seaborn	0.13.2	current_python	scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py
sklearn	scikit-learn	NOT_INSTALLED_OR_NOT_FOUND	current_python	scripts/extended_pipeline/52_virtual_perturbation.py
statsmodels	statsmodels	0.14.6	current_python	scripts/extended_pipeline/15_whole_module_validation.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
matplotlib	matplotlib	NOT_INSTALLED_OR_NOT_FOUND	project_extension	scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py
numpy	numpy	2.5.1	project_extension	scripts/base_pipeline/08_exploratory_logcpm_pca.py; scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/17_summarize_gse337039.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/02b_cross_variety_consensus.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
pandas	pandas	NOT_INSTALLED_OR_NOT_FOUND	project_extension	scripts/base_pipeline/04_prepare_count_matrices.py; scripts/base_pipeline/05_count_qc.py; scripts/base_pipeline/06_build_design_tables.py; scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py; scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/17_summarize_gse337039.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/01_build_sample_design.py; scripts/legacy_discovery_pipeline/02b_cross_variety_consensus.py; scripts/legacy_discovery_pipeline/04_build_design_gse184114.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py; scripts/method_revision_v2/build_qc_go_audits_v2.py
scipy	scipy	1.18.0	project_extension	scripts/extended_pipeline/15_whole_module_validation.py; scripts/extended_pipeline/52_virtual_perturbation.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
seaborn	seaborn	NOT_INSTALLED_OR_NOT_FOUND	project_extension	scripts/base_pipeline/07_qc_flags_and_plots.py; scripts/base_pipeline/08_exploratory_logcpm_pca.py
sklearn	scikit-learn	1.8.0	project_extension	scripts/extended_pipeline/52_virtual_perturbation.py
statsmodels	statsmodels	NOT_INSTALLED_OR_NOT_FOUND	project_extension	scripts/extended_pipeline/15_whole_module_validation.py; scripts/legacy_discovery_pipeline/08f_external_module_projection_validation_v2.py; scripts/method_revision_v2/15_whole_module_validation_v2.py
