Package	Version	Built	library_scope
RColorBrewer	1.1-3	4.4.0	existing_project_or_user_library
dplyr	1.2.1	4.4.3	existing_project_or_user_library
ggplot2	4.0.3	4.4.3	existing_project_or_user_library
ggrepel	0.9.8	4.4.3	existing_project_or_user_library
jsonlite	2.0.0	4.4.3	existing_project_or_user_library
patchwork	1.3.2	4.4.3	existing_project_or_user_library
ragg	1.5.2	4.4.3	existing_project_or_user_library
scales	1.4.0	4.4.3	existing_project_or_user_library
svglite	2.2.2	4.4.3	existing_project_or_user_library
systemfonts	1.3.1	4.4.3	existing_project_or_user_library
tidyr	1.3.2	4.4.3	existing_project_or_user_library
grid	4.4.1	4.4.1	R_library
stats	4.4.1	4.4.1	R_library
tools	4.4.1	4.4.1	R_library
DESeq2	NOT_INSTALLED_OR_NOT_FOUND		not_found
WGCNA	NOT_INSTALLED_OR_NOT_FOUND		not_found
apeglm	NOT_INSTALLED_OR_NOT_FOUND		not_found
ashr	NOT_INSTALLED_OR_NOT_FOUND		not_found
car	NOT_INSTALLED_OR_NOT_FOUND		not_found
irlba	NOT_INSTALLED_OR_NOT_FOUND		not_found
pheatmap	NOT_INSTALLED_OR_NOT_FOUND		not_found
readr	NOT_INSTALLED_OR_NOT_FOUND		not_found
tidyverse	NOT_INSTALLED_OR_NOT_FOUND		not_found
