figure	panel	source_file	plotting_script	scientific_upstream_stage	recomputes_descriptive_plotting_statistics
Figure1	a	figure_1a_sample_correlation.tsv	scripts/extended_pipeline/49_build_figures_part1.R	Discovery VST and formal WGCNA	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure1	b	figure_1b_discovery_pca.tsv	scripts/extended_pipeline/49_build_figures_part1.R	Discovery VST and formal WGCNA	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure1	c	figure_1c_gene_dendrogram_order.tsv	scripts/extended_pipeline/49_build_figures_part1.R	Discovery VST and formal WGCNA	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure1	d	figure_1d_module_trait_correlations.tsv	scripts/extended_pipeline/49_build_figures_part1.R	Discovery VST and formal WGCNA	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure2	a	figure_2a_deg_set_membership.tsv	scripts/extended_pipeline/49_build_figures_part1.R	QC-B differential expression and cross-genotype meta-analysis	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure2	b	figure_2b_cross_variety_effect_heatmap.tsv	scripts/extended_pipeline/49_build_figures_part1.R	QC-B differential expression and cross-genotype meta-analysis	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure2	c	figure_2c_meta_analysis_genes.tsv	scripts/extended_pipeline/49_build_figures_part1.R	QC-B differential expression and cross-genotype meta-analysis	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure2	d	figure_2d_module_meta_effects.tsv	scripts/extended_pipeline/49_build_figures_part1.R	QC-B differential expression and cross-genotype meta-analysis	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure2	e	figure_2e_heterogeneity.tsv	scripts/extended_pipeline/49_build_figures_part1.R	QC-B differential expression and cross-genotype meta-analysis	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure3	a	figure_3a_bootstrap_stability_heatmap.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Resampling/leave-one-genotype robustness and trajectories	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure3	b	figure_3b_leave_one_variety_module_matching.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Resampling/leave-one-genotype robustness and trajectories	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure3	c	figure_3c_module_eigengene_trajectories.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Resampling/leave-one-genotype robustness and trajectories	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	c	figure_4c_projected_module_score_heatmap.tsv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	d	figure_4d_strongest_context_effects.tsv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure5	a	figure_5a_gse337039_sample_correlation.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure5	b	figure_5b_gse337039_pca.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure5	c	figure_5c_three_way_interaction_heatmap.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure5	d	figure_5d_deg_set_membership.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
