x	y	module_color	gene_id
1	0	grey	Vitvi10g00298
2	0	blue	Vitvi10g00294
3	0	grey	Vitvi19g00303
4	0	grey	Vitvi14g01283
5	0	grey	Vitvi07g02243
6	0	grey	Vitvi16g01355
7	0	blue	Vitvi01g02293
8	0	blue	Vitvi13g00060
9	0	brown	Vitvi09g00470
10	0	brown	Vitvi14g01938
11	0	blue	Vitvi02g00025
12	0	blue	Vitvi19g02192
13	0	grey	Vitvi14g00488
14	0	blue	Vitvi18g02541
15	0	grey	Vitvi11g00231
16	0	blue	Vitvi15g00017
17	0	grey	Vitvi15g00018
18	0	purple	Vitvi19g02150
19	0	grey	Vitvi15g00263
20	0	blue	Vitvi16g01310
21	0	blue	Vitvi10g00086
22	0	blue	Vitvi15g01643
23	0	grey	Vitvi18g00991
24	0	blue	Vitvi11g01676
25	0	blue	Vitvi08g02412
26	0	blue	Vitvi13g00487
27	0	blue	Vitvi08g01333
28	0	blue	Vitvi05g01647
29	0	black	Vitvi14g01907
30	0	black	Vitvi05g00657
31	0	blue	Vitvi03g01684
32	0	black	Vitvi16g01021
33	0	black	Vitvi04g01687
34	0	black	Vitvi07g00348
35	0	blue	Vitvi10g00587
36	0	black	Vitvi05g00886
37	0	blue	Vitvi18g00946
38	0	blue	Vitvi01g00344
39	0	black	Vitvi02g00060
40	0	black	Vitvi13g02474
41	0	black	Vitvi18g02077
42	0	black	Vitvi03g01634
43	0	black	Vitvi03g01633
44	0	blue	Vitvi01g00603
45	0	blue	Vitvi02g01286
46	0	black	Vitvi03g00325
47	0	black	Vitvi09g01914
48	0	blue	Vitvi16g01415
49	0	blue	Vitvi07g01973
50	0	blue	Vitvi04g00304
51	0	blue	Vitvi18g02642
52	0	blue	Vitvi15g00859
53	0	blue	Vitvi10g00570
54	0	blue	Vitvi14g02540
55	0	blue	Vitvi09g01697
56	0	blue	Vitvi18g02641
57	0	blue	Vitvi15g00245
58	0	blue	Vitvi17g00291
59	0	blue	Vitvi08g00716
60	0	blue	Vitvi17g01092
61	0	black	Vitvi11g01165
62	0	blue	Vitvi13g00070
63	0	blue	Vitvi18g01174
64	0	blue	Vitvi05g01734
65	0	blue	Vitvi06g00465
66	0	blue	Vitvi00g00973
67	0	blue	Vitvi01g00821
68	0	blue	Vitvi01g01048
69	0	blue	Vitvi04g02075
70	0	blue	Vitvi07g00563
71	0	blue	Vitvi06g01959
72	0	blue	Vitvi06g00084
73	0	blue	Vitvi17g00301
74	0	blue	Vitvi13g02018
75	0	blue	Vitvi12g02153
76	0	blue	Vitvi09g01694
77	0	blue	Vitvi13g02475
78	0	blue	Vitvi12g02162
79	0	blue	Vitvi03g00250
80	0	blue	Vitvi06g00659
81	0	blue	Vitvi16g01354
82	0	blue	Vitvi15g01160
83	0	blue	Vitvi03g01411
84	0	blue	Vitvi12g00752
85	0	blue	Vitvi02g00225
86	0	blue	Vitvi05g00736
87	0	blue	Vitvi14g01526
88	0	blue	Vitvi06g01144
89	0	blue	Vitvi01g01476
90	0	blue	Vitvi16g00908
91	0	blue	Vitvi18g01226
92	0	blue	Vitvi18g00725
93	0	blue	Vitvi17g00084
94	0	blue	Vitvi05g00923
95	0	blue	Vitvi08g00138
96	0	blue	Vitvi17g00152
97	0	blue	Vitvi05g00028
98	0	blue	Vitvi18g00691
99	0	blue	Vitvi06g01536
100	0	blue	Vitvi03g01472
101	0	blue	Vitvi11g00097
102	0	blue	Vitvi13g01962
103	0	blue	Vitvi04g01814
104	0	blue	Vitvi01g01993
105	0	blue	Vitvi00g01223
106	0	blue	Vitvi10g02057
107	0	blue	Vitvi14g03008
108	0	blue	Vitvi03g01897
109	0	blue	Vitvi05g00588
110	0	blue	Vitvi09g00085
111	0	blue	Vitvi08g00690
112	0	blue	Vitvi14g01591
113	0	brown	Vitvi03g00645
114	0	brown	Vitvi01g00525
115	0	brown	Vitvi13g02509
116	0	blue	Vitvi14g01868
117	0	blue	Vitvi05g01301
118	0	blue	Vitvi18g00759
119	0	blue	Vitvi14g01522
120	0	blue	Vitvi14g02510
121	0	blue	Vitvi08g02387
122	0	brown	Vitvi08g02384
123	0	blue	Vitvi08g02383
124	0	brown	Vitvi10g00508
125	0	brown	Vitvi12g02508
126	0	brown	Vitvi13g01907
127	0	brown	Vitvi16g00349
128	0	brown	Vitvi07g03077
129	0	blue	Vitvi19g01440
130	0	blue	Vitvi05g00563
131	0	blue	Vitvi08g01307
132	0	blue	Vitvi16g00964
133	0	blue	Vitvi04g01296
134	0	blue	Vitvi18g00470
135	0	blue	Vitvi12g01880
136	0	blue	Vitvi07g02183
137	0	blue	Vitvi17g01571
138	0	blue	Vitvi01g02061
139	0	blue	Vitvi09g01578
140	0	blue	Vitvi12g02634
141	0	blue	Vitvi07g00021
142	0	blue	Vitvi12g02733
143	0	blue	Vitvi04g00092
144	0	blue	Vitvi08g01369
145	0	blue	Vitvi10g00644
146	0	blue	Vitvi15g01170
147	0	blue	Vitvi10g00649
148	0	blue	Vitvi10g02283
149	0	blue	Vitvi10g00027
150	0	blue	Vitvi14g01994
151	0	blue	Vitvi02g01788
152	0	blue	Vitvi02g01784
153	0	blue	Vitvi19g00908
154	0	blue	Vitvi06g00052
155	0	blue	Vitvi14g00179
156	0	blue	Vitvi18g00181
157	0	blue	Vitvi13g02504
158	0	blue	Vitvi14g01603
159	0	blue	Vitvi02g00338
160	0	blue	Vitvi04g01371
161	0	blue	Vitvi02g01266
162	0	blue	Vitvi02g01483
163	0	blue	Vitvi06g00518
164	0	blue	Vitvi17g00106
165	0	blue	Vitvi15g00941
166	0	blue	Vitvi18g02760
167	0	blue	Vitvi03g00247
