module	p_BH.variety_Vamu	p_BH.variety_Vvcs	p_BH.variety_Vvri	p_BH.variety_Vrip	p_BH.time	trait	correlation	fdr	label
black	9.33107900500216e-05	1.66059193070535e-16	3.59639759384516e-08	6.99979081428548e-35	5.11176835349494e-05	V. amurensis	0.311330416457347	9.33107900500216e-05	0.31***
black	9.33107900500216e-05	1.66059193070535e-16	3.59639759384516e-08	6.99979081428548e-35	5.11176835349494e-05	V. vinifera CS	-0.58838148262918	1.66059193070535e-16	-0.59***
black	9.33107900500216e-05	1.66059193070535e-16	3.59639759384516e-08	6.99979081428548e-35	5.11176835349494e-05	V. vinifera Riesling	-0.421788963353427	3.59639759384516e-08	-0.42***
black	9.33107900500216e-05	1.66059193070535e-16	3.59639759384516e-08	6.99979081428548e-35	5.11176835349494e-05	V. riparia	0.77644637371624	6.99979081428548e-35	0.78***
black	9.33107900500216e-05	1.66059193070535e-16	3.59639759384516e-08	6.99979081428548e-35	5.11176835349494e-05	Time	-0.321795273493674	5.11176835349494e-05	-0.32***
blue	0.0439884745051964	0.532255728426331	0.689385489980575	0.0457201128698107	1.45772588130036e-49	V. amurensis	-0.169312640289791	0.0439884745051964	-0.17*
blue	0.0439884745051964	0.532255728426331	0.689385489980575	0.0457201128698107	1.45772588130036e-49	V. vinifera CS	-0.0537348805910915	0.532255728426331	-0.05
blue	0.0439884745051964	0.532255728426331	0.689385489980575	0.0457201128698107	1.45772588130036e-49	V. vinifera Riesling	0.0359927192298794	0.689385489980575	0.04
blue	0.0439884745051964	0.532255728426331	0.689385489980575	0.0457201128698107	1.45772588130036e-49	V. riparia	0.167300584637689	0.0457201128698107	0.17*
blue	0.0439884745051964	0.532255728426331	0.689385489980575	0.0457201128698107	1.45772588130036e-49	Time	-0.857753464913146	1.45772588130036e-49	-0.86***
brown	8.60186126536347e-09	6.1593109154702e-07	3.40066128641692e-07	3.59639759384516e-08	0.000478653082698561	V. amurensis	-0.438878154591446	8.60186126536347e-09	-0.44***
brown	8.60186126536347e-09	6.1593109154702e-07	3.40066128641692e-07	3.59639759384516e-08	0.000478653082698561	V. vinifera CS	0.384568034648927	6.1593109154702e-07	0.38***
