gene_id	Vamu	Vvcs	Vvri	Vrip
__alignment_not_unique	TRUE	FALSE	FALSE	TRUE
__ambiguous	FALSE	TRUE	TRUE	TRUE
__no_feature	TRUE	TRUE	TRUE	TRUE
Vitvi00g00541	FALSE	TRUE	TRUE	TRUE
Vitvi00g00610	TRUE	TRUE	TRUE	TRUE
Vitvi00g00612	FALSE	TRUE	TRUE	TRUE
Vitvi00g00614	TRUE	TRUE	TRUE	TRUE
Vitvi00g00615	FALSE	TRUE	TRUE	TRUE
Vitvi00g00616	FALSE	TRUE	TRUE	TRUE
Vitvi00g00663	FALSE	TRUE	TRUE	FALSE
Vitvi00g00664	FALSE	TRUE	FALSE	FALSE
Vitvi00g00668	FALSE	TRUE	TRUE	FALSE
Vitvi00g00671	TRUE	TRUE	TRUE	TRUE
Vitvi00g00672	FALSE	TRUE	TRUE	TRUE
Vitvi00g00675	TRUE	TRUE	TRUE	FALSE
Vitvi00g00676	TRUE	TRUE	FALSE	TRUE
Vitvi00g00710	FALSE	TRUE	TRUE	FALSE
Vitvi00g00711	TRUE	TRUE	FALSE	FALSE
Vitvi00g00789	FALSE	TRUE	TRUE	TRUE
Vitvi00g00790	TRUE	TRUE	FALSE	FALSE
Vitvi00g00792	TRUE	TRUE	TRUE	TRUE
Vitvi00g00794	TRUE	TRUE	TRUE	TRUE
Vitvi00g00795	TRUE	FALSE	FALSE	FALSE
Vitvi00g00811	TRUE	TRUE	FALSE	FALSE
Vitvi00g00813	TRUE	TRUE	TRUE	TRUE
Vitvi00g00814	TRUE	TRUE	TRUE	TRUE
Vitvi00g00816	FALSE	TRUE	TRUE	TRUE
Vitvi00g00824	TRUE	TRUE	TRUE	TRUE
Vitvi00g00859	FALSE	TRUE	TRUE	FALSE
Vitvi00g00864	FALSE	FALSE	FALSE	TRUE
Vitvi00g00869	TRUE	TRUE	FALSE	TRUE
Vitvi00g00870	FALSE	TRUE	TRUE	FALSE
Vitvi00g00880	TRUE	TRUE	TRUE	TRUE
Vitvi00g00894	TRUE	TRUE	TRUE	TRUE
Vitvi00g00897	TRUE	TRUE	TRUE	TRUE
Vitvi00g00903	TRUE	TRUE	TRUE	TRUE
Vitvi00g00909	TRUE	TRUE	TRUE	FALSE
Vitvi00g00911	FALSE	TRUE	TRUE	TRUE
Vitvi00g00918	FALSE	FALSE	TRUE	TRUE
Vitvi00g00922	TRUE	TRUE	TRUE	FALSE
Vitvi00g00935	TRUE	TRUE	TRUE	FALSE
Vitvi00g00936	TRUE	TRUE	TRUE	TRUE
Vitvi00g00937	FALSE	TRUE	FALSE	FALSE
Vitvi00g00950	FALSE	TRUE	TRUE	FALSE
Vitvi00g00951	FALSE	TRUE	FALSE	FALSE
Vitvi00g00959	TRUE	TRUE	TRUE	TRUE
Vitvi00g00960	FALSE	TRUE	TRUE	TRUE
Vitvi00g00961	TRUE	TRUE	TRUE	TRUE
Vitvi00g00973	TRUE	TRUE	TRUE	TRUE
Vitvi00g00974	TRUE	FALSE	FALSE	TRUE
Vitvi00g00989	TRUE	TRUE	TRUE	TRUE
Vitvi00g00994	TRUE	TRUE	TRUE	FALSE
Vitvi00g01010	FALSE	TRUE	TRUE	FALSE
Vitvi00g01011	TRUE	TRUE	TRUE	FALSE
Vitvi00g01013	TRUE	FALSE	FALSE	FALSE
Vitvi00g01018	TRUE	TRUE	TRUE	TRUE
Vitvi00g01020	FALSE	TRUE	TRUE	FALSE
Vitvi00g01022	TRUE	TRUE	TRUE	TRUE
Vitvi00g01036	TRUE	TRUE	TRUE	FALSE
Vitvi00g01048	TRUE	FALSE	TRUE	TRUE
Vitvi00g01060	FALSE	FALSE	FALSE	TRUE
Vitvi00g01061	FALSE	TRUE	FALSE	TRUE
Vitvi00g01062	TRUE	TRUE	TRUE	FALSE
Vitvi00g01098	TRUE	TRUE	TRUE	TRUE
Vitvi00g01101	TRUE	TRUE	TRUE	TRUE
Vitvi00g01102	TRUE	TRUE	TRUE	TRUE
Vitvi00g01105	TRUE	TRUE	TRUE	TRUE
Vitvi00g01106	TRUE	TRUE	TRUE	TRUE
Vitvi00g01109	FALSE	FALSE	TRUE	FALSE
Vitvi00g01110	TRUE	FALSE	FALSE	FALSE
Vitvi00g01123	FALSE	TRUE	FALSE	FALSE
Vitvi00g01144	FALSE	FALSE	TRUE	TRUE
Vitvi00g01146	FALSE	FALSE	TRUE	TRUE
Vitvi00g01151	FALSE	TRUE	TRUE	TRUE
Vitvi00g01167	FALSE	TRUE	FALSE	FALSE
Vitvi00g01168	FALSE	TRUE	FALSE	FALSE
Vitvi00g01175	FALSE	TRUE	FALSE	FALSE
Vitvi00g01183	TRUE	TRUE	TRUE	TRUE
Vitvi00g01184	TRUE	TRUE	TRUE	TRUE
Vitvi00g01186	FALSE	TRUE	FALSE	TRUE
Vitvi00g01191	TRUE	TRUE	TRUE	TRUE
Vitvi00g01196	FALSE	TRUE	TRUE	TRUE
Vitvi00g01205	FALSE	TRUE	TRUE	FALSE
Vitvi00g01219	TRUE	FALSE	FALSE	FALSE
Vitvi00g01223	TRUE	FALSE	FALSE	TRUE
Vitvi00g01243	TRUE	TRUE	TRUE	TRUE
Vitvi00g01247	FALSE	TRUE	TRUE	FALSE
Vitvi00g01250	FALSE	FALSE	FALSE	TRUE
Vitvi00g01283	TRUE	TRUE	TRUE	TRUE
Vitvi00g01289	TRUE	TRUE	TRUE	TRUE
Vitvi00g01302	TRUE	TRUE	FALSE	TRUE
Vitvi00g01306	TRUE	TRUE	TRUE	TRUE
Vitvi00g01312	FALSE	FALSE	TRUE	FALSE
Vitvi00g01316	FALSE	TRUE	FALSE	FALSE
Vitvi00g01319	TRUE	TRUE	TRUE	TRUE
Vitvi00g01320	FALSE	TRUE	TRUE	TRUE
Vitvi00g01324	FALSE	TRUE	TRUE	TRUE
Vitvi00g01326	FALSE	FALSE	FALSE	TRUE
Vitvi00g01327	FALSE	TRUE	FALSE	FALSE
Vitvi00g01329	FALSE	TRUE	TRUE	FALSE
Vitvi00g01332	TRUE	FALSE	FALSE	FALSE
Vitvi00g01338	TRUE	FALSE	FALSE	FALSE
Vitvi00g01355	TRUE	TRUE	TRUE	TRUE
Vitvi00g01357	TRUE	TRUE	FALSE	FALSE
Vitvi00g01364	FALSE	TRUE	FALSE	FALSE
Vitvi00g01374	TRUE	TRUE	TRUE	TRUE
Vitvi00g01380	FALSE	FALSE	TRUE	FALSE
Vitvi00g01382	TRUE	TRUE	TRUE	FALSE
Vitvi00g01383	FALSE	TRUE	TRUE	TRUE
Vitvi00g01384	TRUE	TRUE	TRUE	FALSE
Vitvi00g01385	FALSE	TRUE	TRUE	TRUE
Vitvi00g01390	TRUE	TRUE	TRUE	TRUE
Vitvi00g01397	TRUE	TRUE	TRUE	TRUE
Vitvi00g01406	FALSE	FALSE	FALSE	TRUE
Vitvi00g01412	TRUE	TRUE	TRUE	FALSE
Vitvi00g01421	TRUE	TRUE	TRUE	FALSE
Vitvi00g01429	FALSE	TRUE	FALSE	FALSE
Vitvi00g01431	FALSE	TRUE	FALSE	FALSE
Vitvi00g01439	TRUE	FALSE	TRUE	TRUE
Vitvi00g01805	TRUE	TRUE	TRUE	FALSE
Vitvi00g01806	TRUE	FALSE	FALSE	TRUE
Vitvi00g01835	TRUE	FALSE	TRUE	TRUE
Vitvi00g01892	TRUE	TRUE	TRUE	TRUE
Vitvi00g01893	TRUE	TRUE	TRUE	TRUE
Vitvi00g01928	TRUE	TRUE	TRUE	FALSE
Vitvi00g01939	FALSE	TRUE	TRUE	FALSE
Vitvi00g01969	FALSE	TRUE	TRUE	TRUE
Vitvi00g01970	TRUE	TRUE	TRUE	TRUE
Vitvi00g01978	TRUE	TRUE	TRUE	TRUE
Vitvi00g01994	TRUE	TRUE	TRUE	TRUE
Vitvi00g01999	TRUE	TRUE	TRUE	FALSE
Vitvi00g02022	FALSE	TRUE	TRUE	TRUE
Vitvi00g02041	FALSE	TRUE	TRUE	TRUE
Vitvi00g02044	TRUE	TRUE	TRUE	FALSE
Vitvi00g02048	TRUE	TRUE	TRUE	TRUE
Vitvi00g02050	FALSE	TRUE	TRUE	FALSE
Vitvi00g02067	FALSE	FALSE	FALSE	TRUE
Vitvi00g02072	TRUE	FALSE	FALSE	FALSE
Vitvi00g02077	TRUE	FALSE	FALSE	TRUE
Vitvi00g02082	TRUE	TRUE	TRUE	TRUE
Vitvi00g02085	TRUE	FALSE	FALSE	FALSE
Vitvi00g02106	TRUE	FALSE	FALSE	TRUE
Vitvi00g02141	TRUE	TRUE	TRUE	TRUE
Vitvi00g02142	FALSE	TRUE	TRUE	FALSE
