gene_id	y	module_color	source	effect
Vitvi02g01784	1	blue	Vamu	-7.03966456192471
Vitvi02g01784	1	blue	Vvcs	-5.96623405060732
Vitvi02g01784	1	blue	Vvri	-6.93625875872805
Vitvi02g01784	1	blue	Vrip	-5.04283923558662
Vitvi02g01784	1	blue	Meta	-6.14608171922123
Vitvi10g00399	2	blue	Vamu	-6.98432020986635
Vitvi10g00399	2	blue	Vvcs	-5.5931332082943
Vitvi10g00399	2	blue	Vvri	-5.85457015946397
Vitvi10g00399	2	blue	Vrip	-5.03488067670251
Vitvi10g00399	2	blue	Meta	-5.71729259754244
Vitvi09g00524	3	blue	Vamu	-5.18385302236286
Vitvi09g00524	3	blue	Vvcs	-6.99293575194425
Vitvi09g00524	3	blue	Vvri	-6.81343663261014
Vitvi09g00524	3	blue	Vrip	-6.82563762813014
Vitvi09g00524	3	blue	Meta	-6.65714336565017
Vitvi02g01788	4	blue	Vamu	-6.79999561105822
Vitvi02g01788	4	blue	Vvcs	-7.77207830059036
Vitvi02g01788	4	blue	Vvri	-7.09185796503613
Vitvi02g01788	4	blue	Vrip	-5.1137937479268
Vitvi02g01788	4	blue	Meta	-6.5668585327481
Vitvi18g02797	5	blue	Vamu	-7.28452197930569
Vitvi18g02797	5	blue	Vvcs	-7.45501984540022
Vitvi18g02797	5	blue	Vvri	-7.30563509415389
Vitvi18g02797	5	blue	Vrip	-6.63408140654177
Vitvi18g02797	5	blue	Meta	-7.1136152467007
Vitvi14g00971	6	blue	Vamu	-6.03843040168768
Vitvi14g00971	6	blue	Vvcs	-3.4944089393911
Vitvi14g00971	6	blue	Vvri	-4.85040542797664
Vitvi14g00971	6	blue	Vrip	-7.64938033950048
Vitvi14g00971	6	blue	Meta	-5.46255259939151
Vitvi12g02138	7	blue	Vamu	-7.03247097895029
Vitvi12g02138	7	blue	Vvcs	-5.95653146894436
Vitvi12g02138	7	blue	Vvri	-4.83745952655592
Vitvi12g02138	7	blue	Vrip	-6.67927017112124
Vitvi12g02138	7	blue	Meta	-6.00206456415537
Vitvi04g01368	8	blue	Vamu	-6.77937055082622
Vitvi04g01368	8	blue	Vvcs	-5.39632294373381
Vitvi04g01368	8	blue	Vvri	-4.32165400231118
Vitvi04g01368	8	blue	Vrip	-6.60596429605575
Vitvi04g01368	8	blue	Meta	-5.67456685206888
Vitvi05g01733	9	blue	Vamu	-7.05675899081389
Vitvi05g01733	9	blue	Vvcs	-4.9857361797977
Vitvi05g01733	9	blue	Vvri	-4.34555527589823
Vitvi05g01733	9	blue	Vrip	-6.67972768369494
Vitvi05g01733	9	blue	Meta	-5.66196035373066
Vitvi08g00016	10	blue	Vamu	-6.01466208973644
Vitvi08g00016	10	blue	Vvcs	-5.86196790384986
Vitvi08g00016	10	blue	Vvri	-5.39334311345313
Vitvi08g00016	10	blue	Vrip	-5.71094905455582
Vitvi08g00016	10	blue	Meta	-5.66691712450772
Vitvi16g01444	11	blue	Vamu	-6.24191863066626
Vitvi16g01444	11	blue	Vvcs	-5.09990047047585
Vitvi16g01444	11	blue	Vvri	-4.86415262210307
Vitvi16g01444	11	blue	Vrip	-6.0836639886544
Vitvi16g01444	11	blue	Meta	-5.44852049974579
Vitvi06g01599	12	blue	Vamu	-5.77750932304824
Vitvi06g01599	12	blue	Vvcs	-5.30789518065703
Vitvi06g01599	12	blue	Vvri	-5.16748047000649
Vitvi06g01599	12	blue	Vrip	-6.47341561460064
Vitvi06g01599	12	blue	Meta	-5.63839532689104
Vitvi07g01470	13	blue	Vamu	-5.69360850378604
Vitvi07g01470	13	blue	Vvcs	-5.26041570209107
Vitvi07g01470	13	blue	Vvri	-5.6571764001398
Vitvi07g01470	13	blue	Vrip	-6.95586518569167
Vitvi07g01470	13	blue	Meta	-5.79677580007303
Vitvi05g01833	14	blue	Vamu	-6.2879201864289
Vitvi05g01833	14	blue	Vvcs	-5.62507023366095
Vitvi05g01833	14	blue	Vvri	-5.4732072056763
Vitvi05g01833	14	blue	Vrip	-7.16475855411387
Vitvi05g01833	14	blue	Meta	-6.08544305580296
Vitvi18g02468	15	blue	Vamu	-6.50129898207868
Vitvi18g02468	15	blue	Vvcs	-5.41406613031082
Vitvi18g02468	15	blue	Vvri	-6.0247699760939
Vitvi18g02468	15	blue	Vrip	-6.51577848094322
Vitvi18g02468	15	blue	Meta	-6.13296951961835
Vitvi07g00457	16	blue	Vamu	-8.7934822483368
Vitvi07g00457	16	blue	Vvcs	-4.30923038609504
Vitvi07g00457	16	blue	Vvri	-4.14906212808403
Vitvi07g00457	16	blue	Vrip	-7.03601522673588
Vitvi07g00457	16	blue	Meta	-5.88820299209108
Vitvi11g00724	17	blue	Vamu	-8.34942683552059
Vitvi11g00724	17	blue	Vvcs	-4.86722073925756
Vitvi11g00724	17	blue	Vvri	-4.19583368879514
Vitvi11g00724	17	blue	Vrip	-6.81979154999517
Vitvi11g00724	17	blue	Meta	-5.9432556301135
Vitvi04g01685	18	blue	Vamu	-8.18977905877639
Vitvi04g01685	18	blue	Vvcs	-4.00145057457694
Vitvi04g01685	18	blue	Vvri	-4.28569346752401
Vitvi04g01685	18	blue	Vrip	-6.64710419178995
Vitvi04g01685	18	blue	Meta	-5.71283785347459
Vitvi13g00116	19	blue	Vamu	-8.02901443582547
Vitvi13g00116	19	blue	Vvcs	-4.10849290872761
Vitvi13g00116	19	blue	Vvri	-4.51126515443878
Vitvi13g00116	19	blue	Vrip	-5.98479794946422
Vitvi13g00116	19	blue	Meta	-5.51348507523467
Vitvi02g01778	20	blue	Vamu	-7.98321844938473
Vitvi02g01778	20	blue	Vvcs	-5.43937552830447
Vitvi02g01778	20	blue	Vvri	-5.46693994817428
Vitvi02g01778	20	blue	Vrip	-6.62244804514237
Vitvi02g01778	20	blue	Meta	-6.06880064816051
Vitvi18g01617	21	blue	Vamu	-8.51158463564783
Vitvi18g01617	21	blue	Vvcs	-4.56331979474609
Vitvi18g01617	21	blue	Vvri	-5.38123342133073
Vitvi18g01617	21	blue	Vrip	-6.16431186022031
Vitvi18g01617	21	blue	Meta	-6.01232220461342
Vitvi06g01601	22	blue	Vamu	-9.14778338292044
Vitvi06g01601	22	blue	Vvcs	-5.31545049422822
Vitvi06g01601	22	blue	Vvri	-4.69958852913129
Vitvi06g01601	22	blue	Vrip	-6.0993011099587
Vitvi06g01601	22	blue	Meta	-6.16272562400867
Vitvi15g00724	23	blue	Vamu	-8.39155332716603
Vitvi15g00724	23	blue	Vvcs	-5.90404867695628
Vitvi15g00724	23	blue	Vvri	-4.36618899992896
Vitvi15g00724	23	blue	Vrip	-6.72205885356811
Vitvi15g00724	23	blue	Meta	-5.97943530926928
Vitvi02g00605	24	blue	Vamu	-10.9830816019303
Vitvi02g00605	24	blue	Vvcs	-5.41401450365058
Vitvi02g00605	24	blue	Vvri	-5.4332315975731
Vitvi02g00605	24	blue	Vrip	-7.01546158111414
Vitvi02g00605	24	blue	Meta	-7.0829705018432
Vitvi18g02796	25	blue	Vamu	-9.1068473207135
Vitvi18g02796	25	blue	Vvcs	-5.6170518831671
Vitvi18g02796	25	blue	Vvri	-5.58367301291596
Vitvi18g02796	25	blue	Vrip	-7.74264772847699
Vitvi18g02796	25	blue	Meta	-6.89171887646116
Vitvi01g00331	26	turquoise	Vamu	7.53906784502763
Vitvi01g00331	26	turquoise	Vvcs	13.8884195793038
Vitvi01g00331	26	turquoise	Vvri	9.38501295092223
Vitvi01g00331	26	turquoise	Vrip	7.84721791606426
Vitvi01g00331	26	turquoise	Meta	9.51368785657061
Vitvi10g01771	27	turquoise	Vamu	12.1205523443104
Vitvi10g01771	27	turquoise	Vvcs	11.5990184292267
Vitvi10g01771	27	turquoise	Vvri	7.03153311773543
Vitvi10g01771	27	turquoise	Vrip	6.65136817254306
Vitvi10g01771	27	turquoise	Meta	9.32446895064808
Vitvi10g01388	28	turquoise	Vamu	10.468802375167
Vitvi10g01388	28	turquoise	Vvcs	9.74431433718671
Vitvi10g01388	28	turquoise	Vvri	8.66468346474971
Vitvi10g01388	28	turquoise	Vrip	10.2747235163909
Vitvi10g01388	28	turquoise	Meta	10.0020470600094
Vitvi17g00977	29	turquoise	Vamu	11.8531661891248
Vitvi17g00977	29	turquoise	Vvcs	10.7984055993806
Vitvi17g00977	29	turquoise	Vvri	8.73814408937924
Vitvi17g00977	29	turquoise	Vrip	9.78737959284517
Vitvi17g00977	29	turquoise	Meta	10.3329589539487
Vitvi01g00554	30	turquoise	Vamu	12.0591247748958
Vitvi01g00554	30	turquoise	Vvcs	8.85444374336381
Vitvi01g00554	30	turquoise	Vvri	9.96910084232105
Vitvi01g00554	30	turquoise	Vrip	8.81156252670362
Vitvi01g00554	30	turquoise	Meta	9.96599360075191
Vitvi07g02097	31	turquoise	Vamu	11.3695005337027
Vitvi07g02097	31	turquoise	Vvcs	8.28007391173537
Vitvi07g02097	31	turquoise	Vvri	9.59988384875969
Vitvi07g02097	31	turquoise	Vrip	7.91771884058985
Vitvi07g02097	31	turquoise	Meta	9.48237578467577
Vitvi18g01438	32	turquoise	Vamu	11.2297957683742
Vitvi18g01438	32	turquoise	Vvcs	9.61907919419137
Vitvi18g01438	32	turquoise	Vvri	9.35846163660296
Vitvi18g01438	32	turquoise	Vrip	7.18645024858555
Vitvi18g01438	32	turquoise	Meta	9.29828217198694
Vitvi11g01224	33	turquoise	Vamu	10.113124834188
Vitvi11g01224	33	turquoise	Vvcs	9.60171491024962
Vitvi11g01224	33	turquoise	Vvri	9.79133878132867
Vitvi11g01224	33	turquoise	Vrip	7.80477438742542
Vitvi11g01224	33	turquoise	Meta	9.2338753260333
Vitvi14g02923	34	turquoise	Vamu	10.2279780793875
Vitvi14g02923	34	turquoise	Vvcs	10.3124172161543
Vitvi14g02923	34	turquoise	Vvri	9.19840342070484
Vitvi14g02923	34	turquoise	Vrip	8.27829710829722
Vitvi14g02923	34	turquoise	Meta	9.71699468455031
Vitvi06g01033	35	turquoise	Vamu	9.73593863530643
Vitvi06g01033	35	turquoise	Vvcs	9.09011260651103
Vitvi06g01033	35	turquoise	Vvri	11.1859878681754
Vitvi06g01033	35	turquoise	Vrip	8.01724425053703
Vitvi06g01033	35	turquoise	Meta	9.31878886262299
Vitvi14g00339	36	turquoise	Vamu	10.5308813725195
Vitvi14g00339	36	turquoise	Vvcs	7.74641363226867
Vitvi14g00339	36	turquoise	Vvri	11.6325430886595
Vitvi14g00339	36	turquoise	Vrip	8.10085773950503
Vitvi14g00339	36	turquoise	Meta	9.28581616206029
Vitvi14g02894	37	turquoise	Vamu	7.01543295086306
Vitvi14g02894	37	turquoise	Vvcs	10.0860274517023
Vitvi14g02894	37	turquoise	Vvri	11.2622251396362
Vitvi14g02894	37	turquoise	Vrip	10.2414514561051
Vitvi14g02894	37	turquoise	Meta	9.45419484890134
Vitvi11g01227	38	turquoise	Vamu	9.59187492408914
Vitvi11g01227	38	turquoise	Vvcs	10.0383901994047
Vitvi11g01227	38	turquoise	Vvri	10.9050850494968
Vitvi11g01227	38	turquoise	Vrip	10.4298395419512
Vitvi11g01227	38	turquoise	Meta	10.1719206469717
Vitvi13g01337	39	turquoise	Vamu	9.11673629715218
Vitvi13g01337	39	turquoise	Vvcs	10.2224614297903
Vitvi13g01337	39	turquoise	Vvri	10.5646706980588
Vitvi13g01337	39	turquoise	Vrip	10.0278972619946
Vitvi13g01337	39	turquoise	Meta	9.63439086102695
Vitvi07g00352	40	turquoise	Vamu	10.1690503470019
Vitvi07g00352	40	turquoise	Vvcs	8.72393546760874
Vitvi07g00352	40	turquoise	Vvri	11.01857747774
Vitvi07g00352	40	turquoise	Vrip	9.44333834586025
Vitvi07g00352	40	turquoise	Meta	9.84152388414021
Vitvi09g00528	41	turquoise	Vamu	9.72138567246746
Vitvi09g00528	41	turquoise	Vvcs	8.4933724309074
Vitvi09g00528	41	turquoise	Vvri	10.1573535880814
Vitvi09g00528	41	turquoise	Vrip	10.0209666584291
Vitvi09g00528	41	turquoise	Meta	9.65874289553575
Vitvi14g02445	42	turquoise	Vamu	10.6768057056693
Vitvi14g02445	42	turquoise	Vvcs	10.6461859845495
Vitvi14g02445	42	turquoise	Vvri	11.0315451450344
Vitvi14g02445	42	turquoise	Vrip	11.130344920347
Vitvi14g02445	42	turquoise	Meta	10.7874163792637
Vitvi14g02876	43	turquoise	Vamu	9.54218043090235
Vitvi14g02876	43	turquoise	Vvcs	9.11051702042926
Vitvi14g02876	43	turquoise	Vvri	12.7932091019958
Vitvi14g02876	43	turquoise	Vrip	11.0314204306852
Vitvi14g02876	43	turquoise	Meta	10.3317585732744
Vitvi02g00531	44	turquoise	Vamu	12.1472917028136
Vitvi02g00531	44	turquoise	Vvcs	11.1827396121727
Vitvi02g00531	44	turquoise	Vvri	12.3593850100353
Vitvi02g00531	44	turquoise	Vrip	13.2345874485263
Vitvi02g00531	44	turquoise	Meta	12.2637892633674
Vitvi14g01929	45	turquoise	Vamu	13.6670451365588
Vitvi14g01929	45	turquoise	Vvcs	9.32361174913918
Vitvi14g01929	45	turquoise	Vvri	12.5338993611064
Vitvi14g01929	45	turquoise	Vrip	12.100969378026
Vitvi14g01929	45	turquoise	Meta	11.94080170401
Vitvi11g01098	46	turquoise	Vamu	11.7490682710946
Vitvi11g01098	46	turquoise	Vvcs	8.73934158337111
Vitvi11g01098	46	turquoise	Vvri	9.43970959952491
Vitvi11g01098	46	turquoise	Vrip	10.1374475213452
Vitvi11g01098	46	turquoise	Meta	10.1567430268132
Vitvi01g00742	47	turquoise	Vamu	11.7516959917874
Vitvi01g00742	47	turquoise	Vvcs	8.47407931824937
Vitvi01g00742	47	turquoise	Vvri	10.8244153695084
