gene_id	k	estimate	se_hk	ci_low	ci_high	p_value	tau2	i2	q	q_hk	padj	heterogeneity_high	all_varieties_same_sign	all_loo_same_sign	robust_meta_gene	module_color	class	neglog10_fdr
Vitvi00g00610	4	-1.3473103282608	0.476873959563011	-2.86493609895811	0.170315442436519	0.0664470526776765	0	0	1.77117250555839	0.59039083518613	0.126117597678948	FALSE	TRUE	TRUE	FALSE	red	Not robust	0.899224310400451
Vitvi00g00612	4	-2.59780076549432	0.618797159970234	-4.56708950096164	-0.628512030027002	0.0246608940308548	0.45608602516727	0.221546826046507	3.85379634945034	0.830407826560572	0.0678317796615237	FALSE	TRUE	TRUE	FALSE	red	Not robust	1.16856678846291
Vitvi00g00614	4	-0.923329817065975	0.430746532317829	-2.29415752735462	0.44749789322267	0.121444240411847	0.132621509300726	0.0131067643273609	3.0398424992297	0.788907860794451	0.192949189567133	FALSE	TRUE	TRUE	FALSE	red	Not robust	0.714557041229725
Vitvi00g00615	4	-1.08300338684021	0.400488908885512	-2.35753783523001	0.191531061549592	0.0735239883209325	0	0	1.63346255762493	0.544487519208312	0.135057735381849	FALSE	TRUE	TRUE	FALSE	red	Not robust	0.86948053670833
Vitvi00g00616	4	-0.558130501766028	0.753234392117763	-2.95525850997382	1.83899750644177	0.512435279716199	1.04244996241083	0.461208792621751	5.568019594451	0.932285004464266	0.593290076356827	FALSE	FALSE	FALSE	FALSE	NA	Not robust	0.226732915811398
Vitvi00g00671	4	-0.439269159572529	0.556306369846971	-2.20968431089781	1.33114599175276	0.487407006534411	0.781119902346867	0.633586781561918	8.18747755004082	0.977081858583254	0.570095885035248	FALSE	FALSE	FALSE	FALSE	red	Not robust	0.244052093731765
Vitvi00g00672	4	-0.247387240193752	0.614898798299728	-2.20426964896611	1.70949516857861	0.714397701160109	0.983486775277961	0.66762531040614	9.02595803448752	0.950660270319968	0.772015676829764	FALSE	FALSE	FALSE	FALSE	red	Not robust	0.11237388063378
Vitvi00g00675	4	-0.444135815987447	0.174514231521029	-0.999517987310972	0.111246355336078	0.0843114471977885	0.0236950037380911	0.163734733797121	3.58737845662502	0.955801026393201	0.148727710629963	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.827608107117015
Vitvi00g00710	4	-0.992028119839006	0.364125338354963	-2.15083745754694	0.166781217868927	0.072279942571665	0	0	0.0555765085414429	0.0185255028471476	0.13354942383097	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.874357981304684
Vitvi00g00711	4	1.10643844510081	0.290588659542786	0.181655639181525	2.0312212510201	0.0318403356856282	0	0	0.45819876170734	0.152732920569114	0.0787323802369509	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.10384661877076
