module_color	n	median_effect	robust_fraction	ci_low	ci_high
blue	1041	-2.43922370590977	0.544668587896254	-2.52112708246258	-2.39068076199262
brown	618	-0.394879325458196	0.105177993527508	-0.579836038076275	-0.285381819729202
red	95	-0.318743022063124	0.0210526315789474	-0.475469260778126	-0.246947004175082
pink	63	-0.239753807984008	0.142857142857143	-0.585648615598946	0.0360513663726538
black	89	0.485700717794702	0.0337078651685393	0.23979126097641	0.601561505719421
purple	42	0.497380042648402	0.0714285714285714	0.27596685176642	0.78440245938206
green	171	0.871268197689864	0.134502923976608	0.730605431256641	1.00079976187746
magenta	35	1.3344347267257	0.142857142857143	0.775591734123229	1.74090709355776
yellow	266	1.988974423459	0.266917293233083	1.71603151621206	2.09876659384117
turquoise	2330	2.71390676928276	0.527896995708155	2.61393649946837	2.78873429412104
