gene_id	i2	group	robust_meta_gene
Vitvi00g00610	0	All genes	FALSE
Vitvi00g00612	0.221546826046507	All genes	FALSE
Vitvi00g00614	0.0131067643273609	All genes	FALSE
Vitvi00g00615	0	All genes	FALSE
Vitvi00g00616	0.461208792621751	All genes	FALSE
Vitvi00g00671	0.633586781561918	All genes	FALSE
Vitvi00g00672	0.66762531040614	All genes	FALSE
Vitvi00g00675	0.163734733797121	All genes	FALSE
Vitvi00g00710	0	All genes	FALSE
Vitvi00g00711	0	All genes	FALSE
Vitvi00g00789	0.697324269017586	All genes	FALSE
Vitvi00g00790	0.82166084942257	All genes	FALSE
Vitvi00g00792	0.871478831846545	All genes	FALSE
Vitvi00g00794	0.926667497543959	All genes	FALSE
Vitvi00g00795	0.234475737209983	All genes	FALSE
Vitvi00g00813	0.870034012922595	All genes	TRUE
Vitvi00g00814	0.872148108568999	All genes	FALSE
Vitvi00g00816	0	All genes	FALSE
Vitvi00g00824	0.707968250425085	All genes	FALSE
Vitvi00g00869	0.143680203913135	All genes	TRUE
Vitvi00g00870	0	All genes	FALSE
Vitvi00g00880	0	All genes	TRUE
Vitvi00g00894	0.733954285807188	All genes	FALSE
Vitvi00g00897	0.598530418803202	All genes	FALSE
Vitvi00g00903	0.534565992318922	All genes	FALSE
Vitvi00g00922	0	All genes	FALSE
Vitvi00g00935	0	All genes	FALSE
Vitvi00g00936	0.637518437245405	Turquoise	FALSE
Vitvi00g00959	0	All genes	FALSE
Vitvi00g00960	0	All genes	FALSE
Vitvi00g00961	0	All genes	FALSE
Vitvi00g00973	0	Blue	FALSE
Vitvi00g00974	0.607415806143802	All genes	FALSE
Vitvi00g00983	0	All genes	FALSE
Vitvi00g00989	0.41122993897625	All genes	TRUE
Vitvi00g00994	0	All genes	FALSE
Vitvi00g00997	0	All genes	FALSE
Vitvi00g01010	0	All genes	FALSE
Vitvi00g01011	0	All genes	FALSE
Vitvi00g01013	0.601291737230556	All genes	FALSE
Vitvi00g01018	0.825898270513596	All genes	FALSE
Vitvi00g01022	0	All genes	FALSE
Vitvi00g01036	0	All genes	FALSE
Vitvi00g01048	0	All genes	TRUE
Vitvi00g01061	0	All genes	FALSE
Vitvi00g01062	0.804396172599373	All genes	FALSE
Vitvi00g01098	0.867728030393622	All genes	TRUE
Vitvi00g01101	0.430835942257849	Blue	TRUE
Vitvi00g01102	0.104761697833358	All genes	TRUE
Vitvi00g01105	0.676596232870102	All genes	FALSE
Vitvi00g01106	0	All genes	FALSE
Vitvi00g01110	0.565789347028563	All genes	FALSE
Vitvi00g01123	0	All genes	FALSE
Vitvi00g01144	0.7636146142006	All genes	FALSE
Vitvi00g01168	0.480508810934138	All genes	FALSE
Vitvi00g01175	0.299509301977495	All genes	FALSE
Vitvi00g01183	0.662846370626543	Blue	TRUE
Vitvi00g01184	0.938354073980334	All genes	FALSE
Vitvi00g01186	0.509392534031899	All genes	FALSE
Vitvi00g01191	0	All genes	FALSE
Vitvi00g01196	0	All genes	FALSE
Vitvi00g01223	0.454496885839202	Blue	FALSE
Vitvi00g01243	0.270903044046108	Turquoise	TRUE
Vitvi00g01247	0	All genes	FALSE
Vitvi00g01283	0.0507981844047242	All genes	FALSE
Vitvi00g01289	0.537409012366852	All genes	FALSE
Vitvi00g01306	0.764894969058366	All genes	FALSE
Vitvi00g01316	0.790014620798585	All genes	FALSE
Vitvi00g01319	0.649243894776394	All genes	FALSE
Vitvi00g01320	0	All genes	FALSE
Vitvi00g01324	0	All genes	TRUE
Vitvi00g01327	0	All genes	FALSE
Vitvi00g01332	0	All genes	FALSE
Vitvi00g01338	0	All genes	FALSE
Vitvi00g01355	0.507138125466975	All genes	FALSE
Vitvi00g01374	0.297503951500319	All genes	TRUE
Vitvi00g01380	0.116085738154112	All genes	FALSE
Vitvi00g01382	0	Turquoise	FALSE
Vitvi00g01383	0.683678516362449	All genes	FALSE
Vitvi00g01384	0.276318302403647	All genes	FALSE
Vitvi00g01385	0.472946798653893	All genes	FALSE
Vitvi00g01390	0.596686501796609	All genes	FALSE
Vitvi00g01397	0.717985770911688	All genes	FALSE
Vitvi00g01421	0	All genes	FALSE
Vitvi00g01424	0	All genes	FALSE
Vitvi00g01805	0.925545949035274	All genes	FALSE
Vitvi00g01806	0.815897613682664	All genes	FALSE
Vitvi00g01892	0	All genes	TRUE
Vitvi00g01893	0.15158579041115	All genes	FALSE
Vitvi00g01928	0.225365098206953	All genes	FALSE
Vitvi00g01969	0	All genes	FALSE
Vitvi00g01970	0.743995141995258	Blue	FALSE
Vitvi00g01978	0.8219326023189	All genes	FALSE
Vitvi00g01994	0	All genes	TRUE
Vitvi00g01999	0.864557824079646	All genes	FALSE
Vitvi00g02022	0.762037723476955	All genes	FALSE
Vitvi00g02048	0.570545751006957	All genes	FALSE
Vitvi00g02075	0	All genes	FALSE
Vitvi00g02082	0.700129909142125	All genes	FALSE
Vitvi00g02106	0.482207809074845	All genes	FALSE
Vitvi00g02141	0.884986710390593	Blue	FALSE
Vitvi00g02142	0.357043690079432	All genes	FALSE
Vitvi00g02146	0.737042346402077	All genes	FALSE
Vitvi00g02156	0.338619336171933	All genes	FALSE
Vitvi00g02161	0.908159144052912	All genes	FALSE
Vitvi00g02165	0.00699994623903501	All genes	FALSE
Vitvi00g02167	0.790889622519992	All genes	FALSE
Vitvi00g02173	0.806076666107701	Blue	FALSE
Vitvi00g02175	0.375205159921114	All genes	FALSE
Vitvi00g02178	0.583061746269174	All genes	FALSE
Vitvi00g02184	0.765971171168034	All genes	FALSE
Vitvi00g02199	0	All genes	TRUE
Vitvi00g02208	0.908043750889628	All genes	FALSE
Vitvi00g02219	0.556880044674427	All genes	FALSE
Vitvi00g02236	0.486017621751005	All genes	FALSE
Vitvi00g02243	0.560414186251122	All genes	TRUE
Vitvi00g02244	0.00687231983421004	All genes	FALSE
Vitvi00g02269	0.70331102770766	All genes	FALSE
Vitvi00g02270	0	All genes	TRUE
Vitvi00g02289	0.340907501344405	Blue	TRUE
Vitvi00g02294	0.794786193595836	All genes	FALSE
Vitvi00g02317	0.230608494036549	All genes	FALSE
Vitvi00g02345	0.191087232700594	All genes	FALSE
Vitvi01g00001	0.683616263491548	All genes	FALSE
Vitvi01g00002	0.826326472436661	Turquoise	FALSE
Vitvi01g00005	0	All genes	TRUE
Vitvi01g00006	0.695354948040599	All genes	FALSE
Vitvi01g00008	0	Turquoise	FALSE
Vitvi01g00011	0.807765282113101	All genes	FALSE
Vitvi01g00012	0.793305860259079	All genes	FALSE
Vitvi01g00014	0.600213154463084	Turquoise	FALSE
Vitvi01g00019	0	All genes	TRUE
Vitvi01g00023	0.208344325502634	All genes	FALSE
Vitvi01g00024	0.801178050394443	All genes	FALSE
Vitvi01g00025	0.857855012856907	All genes	FALSE
Vitvi01g00026	0.802849362397659	All genes	FALSE
Vitvi01g00027	0	All genes	FALSE
Vitvi01g00028	0	All genes	FALSE
Vitvi01g00029	0	All genes	TRUE
Vitvi01g00033	0.343204888093787	All genes	TRUE
Vitvi01g00034	0.855104513561476	Blue	FALSE
Vitvi01g00035	0.889765273055458	All genes	FALSE
Vitvi01g00036	0.75035933216364	Turquoise	TRUE
Vitvi01g00037	0.838396673006999	All genes	FALSE
Vitvi01g00038	0	All genes	FALSE
Vitvi01g00039	0.77715277615566	All genes	FALSE
Vitvi01g00041	0.800348439496012	All genes	FALSE
Vitvi01g00042	0	All genes	TRUE
Vitvi01g00043	0.162218840838771	Turquoise	TRUE
Vitvi01g00045	0	All genes	TRUE
Vitvi01g00046	0.76885997830581	All genes	FALSE
Vitvi01g00047	0	All genes	FALSE
Vitvi01g00048	0.539870005553511	Blue	TRUE
Vitvi01g00049	0.821948545588465	All genes	FALSE
Vitvi01g00050	0.829540663515942	All genes	FALSE
Vitvi01g00051	0.841343486826376	All genes	FALSE
Vitvi01g00052	0.853703465726192	Turquoise	FALSE
Vitvi01g00053	0.349668111951832	All genes	TRUE
Vitvi01g00054	0.517421196192557	All genes	TRUE
Vitvi01g00055	0.935837803504803	All genes	FALSE
Vitvi01g00056	0.81150807708103	All genes	FALSE
Vitvi01g00058	0.0772133681378381	All genes	FALSE
Vitvi01g00059	0	All genes	TRUE
Vitvi01g00060	0	Turquoise	TRUE
Vitvi01g00061	0.953130861810515	All genes	FALSE
Vitvi01g00062	0.840846836088594	All genes	FALSE
Vitvi01g00063	0.556070428161154	All genes	FALSE
Vitvi01g00064	0.852348625054717	All genes	FALSE
Vitvi01g00065	0	All genes	FALSE
Vitvi01g00068	0.496518796929982	All genes	FALSE
Vitvi01g00070	0.9153372144266	All genes	FALSE
Vitvi01g00071	0	All genes	TRUE
Vitvi01g00074	0.876198932027805	All genes	FALSE
Vitvi01g00075	0.722126687986889	All genes	FALSE
Vitvi01g00076	0	All genes	TRUE
Vitvi01g00077	0.810633895669004	All genes	FALSE
Vitvi01g00078	0	All genes	FALSE
Vitvi01g00079	0.524224147005394	All genes	FALSE
Vitvi01g00080	0.671958610395257	All genes	FALSE
Vitvi01g00081	0.837268737256592	All genes	FALSE
Vitvi01g00082	0.515061237001367	All genes	FALSE
Vitvi01g00083	0	All genes	FALSE
Vitvi01g00084	0.60328065560606	All genes	FALSE
Vitvi01g00085	0.814548230983275	All genes	FALSE
Vitvi01g00086	0.71631113993582	All genes	FALSE
Vitvi01g00087	0.500103445403112	All genes	FALSE
Vitvi01g00088	0.416516251226345	All genes	FALSE
Vitvi01g00089	0.647952701321034	All genes	FALSE
Vitvi01g00090	0.177595167785269	All genes	TRUE
Vitvi01g00091	0	All genes	TRUE
Vitvi01g00092	0	All genes	TRUE
Vitvi01g00094	0.705145398045928	All genes	FALSE
Vitvi01g00095	0.0994321567454154	Turquoise	TRUE
Vitvi01g00096	0.71614145121727	All genes	FALSE
Vitvi01g00097	0.94369577469966	All genes	FALSE
Vitvi01g00098	0.864019346283822	All genes	FALSE
Vitvi01g00099	0	All genes	FALSE
Vitvi01g00100	0.740731071472847	All genes	FALSE
Vitvi01g00101	0.704754317424984	All genes	FALSE
Vitvi01g00102	0.597355095457237	Turquoise	TRUE
Vitvi01g00103	0.89819289369779	All genes	FALSE
Vitvi01g00104	0.893243631727928	Turquoise	FALSE
Vitvi01g00106	0	All genes	FALSE
Vitvi01g00108	0.779234248082169	All genes	FALSE
Vitvi01g00111	0.705443776621585	Turquoise	FALSE
Vitvi01g00112	0	All genes	FALSE
Vitvi01g00113	0	All genes	FALSE
Vitvi01g00114	0	All genes	FALSE
Vitvi01g00115	0.84782056437294	All genes	TRUE
Vitvi01g00116	0	All genes	FALSE
Vitvi01g00119	0	All genes	FALSE
Vitvi01g00120	0	All genes	FALSE
Vitvi01g00121	0.882851028039445	All genes	FALSE
Vitvi01g00122	0.903790633527561	All genes	FALSE
Vitvi01g00123	0.579280790582427	All genes	FALSE
Vitvi01g00124	0.893632057003695	All genes	FALSE
Vitvi01g00128	0.73049187549646	All genes	FALSE
Vitvi01g00129	0.507946734281664	All genes	FALSE
Vitvi01g00130	0	All genes	TRUE
Vitvi01g00131	0.598670770441493	All genes	TRUE
Vitvi01g00132	0	All genes	FALSE
Vitvi01g00133	0	All genes	FALSE
