module_color	metric	median	q025	q975
blue	Mean pairwise r	0.559466020373599	0.546445993310103	0.573911472663954
blue	Median |kME|	0.797953404891346	0.788849518242338	0.806688342176042
blue	PC1 variance	0.589852637577457	0.57831056448845	0.602804606717747
blue	|Time correlation|	0.857172682587962	0.843181861508495	0.875428260031915
brown	Mean pairwise r	0.521318865582243	0.503100043736495	0.536659430041313
brown	Median |kME|	0.750708909152587	0.738623512263814	0.760920734155697
brown	PC1 variance	0.54197615121658	0.52529996955798	0.555988454631923
brown	|Time correlation|	0.281575762974419	0.23523263057979	0.338412065046474
turquoise	Mean pairwise r	0.593589495501017	0.583613374369839	0.602627779078152
turquoise	Median |kME|	0.820473652624676	0.812130698545424	0.82761650884055
turquoise	PC1 variance	0.619616683321308	0.610054850116088	0.628275953491183
turquoise	|Time correlation|	0.830942250977427	0.816132458903279	0.84474219678277
