module_color	variety	time	mean	sem	n
blue	Vamu	0	0.0903047017785266	0.00387355466793333	4
blue	Vamu	1	0.0377644579565032	0.00680822816527718	3
blue	Vamu	2	-0.00587259542113638	0.00177721448015412	3
blue	Vamu	3	0.00614007894436287	0.0210463260839131	3
blue	Vamu	4	-0.0346875761135713	0.010412261471676	3
blue	Vamu	5	-0.0627446226059495	0.0101829581766056	3
blue	Vamu	7	-0.0872011799454643	0.00967416001960331	3
blue	Vamu	8	-0.0719840605547785	0.0389299991114174	3
blue	Vamu	9	-0.118611883080689	0.000937733871549995	2
blue	Vamu	10	-0.103618348698277	0.00108949473529235	3
blue	Vrip	0	0.151477522983025	0.00212590625821777	6
blue	Vrip	1	0.095365720882386	0.00995200635950826	4
blue	Vrip	2	0.0650011642469858	0.0115056870774485	3
blue	Vrip	3	0.0451097760636391	0.00439300170818898	4
blue	Vrip	4	0.0504600172577385	0.0118075584116974	2
blue	Vrip	5	0.0277206382923767	0.00448928141853251	3
blue	Vrip	6	0.0123619175932817	0.00128864461616842	4
blue	Vrip	7	0.0119135809358952	0.0167162958172882	3
blue	Vrip	8	-0.0303084118701098	0.0295042985030176	3
blue	Vrip	9	-0.0455340822946442	0.0189636713723085	3
blue	Vrip	10	-0.0795935605945777	0.0108733344566008	3
blue	Vrip	11	-0.0950461801213429	0.0121334081739214	3
blue	Vrip	12	-0.075419302263335	0.0181665392171104	3
blue	Vvcs	0	0.141535514079834	0.00625100353945974	3
blue	Vvcs	1	0.0880305999660043	0.00485528726474617	3
blue	Vvcs	2	0.0577954712208455	0.00659971781954629	3
blue	Vvcs	3	0.0582127255932642	0.00660058370842899	3
blue	Vvcs	4	0.0404179166741687	0.00871769274707163	3
blue	Vvcs	5	0.0347408922571924	0.00199217620549103	3
blue	Vvcs	6	0.0334568336821701	0.00605849804444131	4
blue	Vvcs	7	0.0306702518255567	0.0101557568320154	3
blue	Vvcs	8	0.00178909507877797	0.0138772737150615	3
blue	Vvcs	9	-0.0168280512757743	0.0230932656795485	2
blue	Vvcs	10	-0.0201159055683399	0.00955716691486795	2
blue	Vvcs	11	-0.0353260182291147	0.0202433866456457	3
