dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE273240	Deac1_0d_Control_rep1	blue	0.866471448147661	84	273240
GSE273240	Deac1_0d_Control_rep2	blue	0.70504875325335	80	273240
GSE273240	Deac1_0d_Control_rep3	blue	0.819061570930781	82	273240
GSE273240	Deac1_0d_tetralone-ABA_rep1	blue	0.375819870474353	46	273240
GSE273240	Deac1_0d_tetralone-ABA_rep2	blue	0.379153697899153	47	273240
GSE273240	Deac1_0d_tetralone-ABA_rep3	blue	0.240445992457419	32	273240
GSE273240	Deac1_3d_Control_rep1	blue	0.365572180059671	44	273240
GSE273240	Deac1_3d_Control_rep2	blue	0.419528406710407	49	273240
GSE273240	Deac1_3d_Control_rep3	blue	0.549438490024258	68	273240
GSE273240	Deac1_3d_tetralone-ABA_rep1	blue	0.455070451057475	55	273240
GSE273240	Deac1_3d_tetralone-ABA_rep2	blue	0.524939374273542	64	273240
GSE273240	Deac1_3d_tetralone-ABA_rep3	blue	0.436418239865096	50	273240
GSE273240	Deac1_5d_Control_rep1	blue	0.277492968390112	36	273240
GSE273240	Deac1_5d_Control_rep2	blue	0.236894477729023	31	273240
GSE273240	Deac1_5d_Control_rep3	blue	0.229393600567	30	273240
GSE273240	Deac1_5d_tetralone-ABA_rep1	blue	-1.14625168874752	14	273240
GSE273240	Deac1_5d_tetralone-ABA_rep2	blue	0.247919877425342	33	273240
GSE273240	Deac1_5d_tetralone-ABA_rep3	blue	0.259572818873939	35	273240
GSE273240	Deac1_7d_Control_rep1	blue	0.449541053012438	54	273240
GSE273240	Deac1_7d_Control_rep2	blue	0.543681203814393	67	273240
GSE273240	Deac1_7d_Control_rep3	blue	0.293456245480055	38	273240
GSE273240	Deac1_7d_tetralone-ABA_rep1	blue	0.626151520912419	77	273240
GSE273240	Deac1_7d_tetralone-ABA_rep2	blue	0.660235692368116	78	273240
GSE273240	Deac1_7d_tetralone-ABA_rep3	blue	0.612188015737448	75	273240
GSE273240	Deac1_14d_Control_rep1	blue	-2.85603786877311e-05	24	273240
GSE273240	Deac1_14d_Control_rep2	blue	0.0412650583809373	28	273240
GSE273240	Deac1_14d_Control_rep3	blue	0.309380912422546	40	273240
GSE273240	Deac1_14d_tetralone-ABA_rep1	blue	0.348837955382785	43	273240
GSE273240	Deac1_14d_tetralone-ABA_rep2	blue	0.511190177752977	63	273240
GSE273240	Deac1_14d_tetralone-ABA_rep3	blue	0.348150190036183	42	273240
GSE273240	Deac2_0d_Control_rep1	blue	1.3246146361531	88	273240
GSE273240	Deac2_0d_Control_rep2	blue	1.40368342833556	89	273240
GSE273240	Deac2_0d_Control_rep3	blue	1.09730271768947	85	273240
GSE273240	Deac2_0d_tetralone-ABA_rep1	blue	1.19796781169808	86	273240
GSE273240	Deac2_0d_tetralone-ABA_rep2	blue	1.44617735243438	90	273240
GSE273240	Deac2_0d_tetralone-ABA_rep3	blue	1.23986240299495	87	273240
GSE273240	Deac2_3d_tetralone-ABA_rep1	blue	0.330736396340191	41	273240
GSE273240	Deac2_3d_tetralone-ABA_rep2	blue	0.530822563509709	66	273240
GSE273240	Deac2_3d_tetralone-ABA_rep3	blue	0.678928846185281	79	273240
GSE273240	Deac2_3d_Control_rep1	blue	0.820312469233968	83	273240
GSE273240	Deac2_3d_Control_rep2	blue	0.527376755420473	65	273240
GSE273240	Deac2_3d_Control_rep3	blue	0.48994200789788	58	273240
GSE273240	Deac2_5d_Control_rep1	blue	0.446748906722704	52	273240
GSE273240	Deac2_5d_Control_rep2	blue	0.449363095648206	53	273240
GSE273240	Deac2_5d_Control_rep3	blue	0.467377022471233	56	273240
GSE273240	Deac2_5d_tetralone-ABA_rep1	blue	0.495143714042846	60	273240
GSE273240	Deac2_5d_tetralone-ABA_rep2	blue	0.44664766636803	51	273240
GSE273240	Deac2_5d_tetralone-ABA_rep3	blue	0.492521970042111	59	273240
GSE273240	Deac2_7d_tetralone-ABA_rep1	blue	0.611925627991968	74	273240
GSE273240	Deac2_7d_tetralone-ABA_rep2	blue	0.58404742513639	72	273240
GSE273240	Deac2_7d_tetralone-ABA_rep3	blue	0.582619194209782	71	273240
GSE273240	Deac2_7d_Control_rep1	blue	0.473405570495298	57	273240
GSE273240	Deac2_7d_Control_rep2	blue	0.497384081765585	61	273240
GSE273240	Deac2_7d_Control_rep3	blue	0.506932926373494	62	273240
GSE273240	Deac2_14d_Control_rep1	blue	0.0109773871296351	25	273240
GSE273240	Deac2_14d_Control_rep2	blue	0.0356206656511951	27	273240
GSE273240	Deac2_14d_Control_rep3	blue	0.0356069662947097	26	273240
GSE273240	Deac2_14d_tetralone-ABA_rep1	blue	-0.083365448420449	23	273240
GSE273240	Deac2_14d_tetralone-ABA_rep2	blue	0.366287785700791	45	273240
GSE273240	Deac2_14d_tetralone-ABA_rep3	blue	0.578159870910524	70	273240
GSE273240	Deac3_0d_Control_rep1	blue	0.760091140323519	81	273240
GSE273240	Deac3_0d_Control_rep2	blue	0.594624180485334	73	273240
GSE273240	Deac3_0d_Control_rep3	blue	0.555994025274544	69	273240
GSE273240	Deac3_0d_tetralone-ABA_rep1	blue	0.290668714747202	37	273240
GSE273240	Deac3_0d_tetralone-ABA_rep2	blue	-0.963249878525738	16	273240
GSE273240	Deac3_0d_tetralone-ABA_rep3	blue	0.620003466937436	76	273240
GSE273240	Deac3_3d_Control_rep1	blue	-1.07487032994168	15	273240
GSE273240	Deac3_3d_Control_rep2	blue	-0.455345972934612	21	273240
GSE273240	Deac3_3d_Control_rep3	blue	-0.358750875826354	22	273240
GSE273240	Deac3_3d_tetralone-ABA_rep1	blue	-0.45709463517449	20	273240
