module_color,omitted_dataset,datasets_retained,retained_dataset_list,weight_formula,direction_in_weight,combined_z,combined_one_sided_p,all_retained_z_positive
blue,GSE184114,3,GSE273240;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.269795900185363,1.8076083153313895e-10,True
blue,GSE273240,3,GSE184114;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.314710045593893,1.3533423565230252e-10,True
blue,GSE277812,3,GSE273240;GSE184114;GSE337039,sqrt(effective_sample_size),False,6.419742525950415,6.82525112617252e-11,True
blue,GSE337039,3,GSE273240;GSE184114;GSE277812,sqrt(effective_sample_size),False,6.266086796610127,1.8511700967878035e-10,True
turquoise,GSE184114,3,GSE273240;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.269795900185363,1.8076083153313895e-10,True
turquoise,GSE273240,3,GSE184114;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.314710045593893,1.3533423565230252e-10,True
turquoise,GSE277812,3,GSE273240;GSE184114;GSE337039,sqrt(effective_sample_size),False,6.419742525950415,6.82525112617252e-11,True
turquoise,GSE337039,3,GSE273240;GSE184114;GSE277812,sqrt(effective_sample_size),False,6.266086796610127,1.8511700967878035e-10,True
brown,GSE184114,3,GSE273240;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.126762829261554,4.4842501468473716e-10,True
brown,GSE273240,3,GSE184114;GSE277812;GSE337039,sqrt(effective_sample_size),False,6.164738054215306,3.529995610434346e-10,True
brown,GSE277812,3,GSE273240;GSE184114;GSE337039,sqrt(effective_sample_size),False,6.419742525950415,6.82525112617252e-11,True
brown,GSE337039,3,GSE273240;GSE184114;GSE277812,sqrt(effective_sample_size),False,6.128395524413224,4.4384844291715407e-10,True
