sample_y	sample_x	correlation	x	y
SRR39326587	SRR39326587	1	1	1
SRR39326590	SRR39326587	0.968124556345502	1	2
SRR39326589	SRR39326587	0.968709793249432	1	3
SRR39326591	SRR39326587	0.970312834807887	1	4
SRR39326588	SRR39326587	0.970173872029744	1	5
SRR39326586	SRR39326587	0.968985979303233	1	6
SRR39326556	SRR39326587	0.930848530913939	1	7
SRR39326558	SRR39326587	0.927244957352735	1	8
SRR39326557	SRR39326587	0.919045913182624	1	9
SRR39326553	SRR39326587	0.939414070542834	1	10
SRR39326555	SRR39326587	0.928721688690642	1	11
SRR39326554	SRR39326587	0.931089399435186	1	12
SRR39326598	SRR39326587	0.882183484241996	1	13
SRR39326595	SRR39326587	0.883632278760959	1	14
SRR39326601	SRR39326587	0.902132296196511	1	15
SRR39326597	SRR39326587	0.903338442355379	1	16
SRR39326600	SRR39326587	0.907440052512862	1	17
SRR39326599	SRR39326587	0.913643526391839	1	18
SRR39326593	SRR39326587	0.914752170691348	1	19
SRR39326594	SRR39326587	0.929977723203703	1	20
SRR39326592	SRR39326587	0.930210029649356	1	21
SRR39326603	SRR39326587	0.807277455821522	1	22
SRR39326608	SRR39326587	0.839515818777406	1	23
SRR39326607	SRR39326587	0.847613541893528	1	24
SRR39326596	SRR39326587	0.847462133669354	1	25
SRR39326551	SRR39326587	0.823892130722561	1	26
SRR39326574	SRR39326587	0.842810904574649	1	27
SRR39326585	SRR39326587	0.842203538354259	1	28
SRR39326563	SRR39326587	0.846116647967352	1	29
SRR39326606	SRR39326587	0.809191982182376	1	30
SRR39326549	SRR39326587	0.818717173245784	1	31
SRR39326605	SRR39326587	0.80346238295478	1	32
SRR39326602	SRR39326587	0.832810255339863	1	33
SRR39326552	SRR39326587	0.838086647314415	1	34
SRR39326550	SRR39326587	0.832445176892797	1	35
SRR39326604	SRR39326587	0.841145532710396	1	36
SRR39326568	SRR39326587	0.8561606908791	1	37
SRR39326559	SRR39326587	0.896746315582308	1	38
SRR39326562	SRR39326587	0.861343430596023	1	39
SRR39326565	SRR39326587	0.862945774025328	1	40
SRR39326564	SRR39326587	0.863458144784185	1	41
SRR39326567	SRR39326587	0.868659996822218	1	42
SRR39326566	SRR39326587	0.868178792234977	1	43
SRR39326561	SRR39326587	0.88316864049849	1	44
SRR39326560	SRR39326587	0.885332702915445	1	45
SRR39326583	SRR39326587	0.823943000591854	1	46
SRR39326584	SRR39326587	0.83915351894173	1	47
SRR39326582	SRR39326587	0.847881499712408	1	48
SRR39326575	SRR39326587	0.795527962264224	1	49
SRR39326573	SRR39326587	0.808455278648305	1	50
SRR39326572	SRR39326587	0.797658562130612	1	51
SRR39326577	SRR39326587	0.850494289005911	1	52
SRR39326570	SRR39326587	0.81249878141842	1	53
SRR39326571	SRR39326587	0.819822040911379	1	54
SRR39326569	SRR39326587	0.802572465573532	1	55
SRR39326580	SRR39326587	0.820659889629255	1	56
SRR39326579	SRR39326587	0.812858164562987	1	57
SRR39326576	SRR39326587	0.834576613984786	1	58
SRR39326581	SRR39326587	0.835275161427547	1	59
SRR39326578	SRR39326587	0.826730611488502	1	60
SRR39326587	SRR39326590	0.968124556345502	2	1
SRR39326590	SRR39326590	1	2	2
SRR39326589	SRR39326590	0.986105278196221	2	3
SRR39326591	SRR39326590	0.973458450462632	2	4
SRR39326588	SRR39326590	0.962337654600503	2	5
SRR39326586	SRR39326590	0.965327116249171	2	6
SRR39326556	SRR39326590	0.932397058628612	2	7
SRR39326558	SRR39326590	0.921840622573393	2	8
SRR39326557	SRR39326590	0.924859403839937	2	9
SRR39326553	SRR39326590	0.920848116401117	2	10
SRR39326555	SRR39326590	0.916620525002364	2	11
SRR39326554	SRR39326590	0.914220552947433	2	12
SRR39326598	SRR39326590	0.906533044487323	2	13
SRR39326595	SRR39326590	0.907989891011297	2	14
SRR39326601	SRR39326590	0.929743545738811	2	15
SRR39326597	SRR39326590	0.927801220368715	2	16
SRR39326600	SRR39326590	0.925902423791816	2	17
SRR39326599	SRR39326590	0.931894274759475	2	18
SRR39326593	SRR39326590	0.933077727278936	2	19
SRR39326594	SRR39326590	0.949090332465812	2	20
SRR39326592	SRR39326590	0.957056196955556	2	21
SRR39326603	SRR39326590	0.852600669808706	2	22
SRR39326608	SRR39326590	0.870745620879868	2	23
SRR39326607	SRR39326590	0.88389738062216	2	24
SRR39326596	SRR39326590	0.876880422059775	2	25
SRR39326551	SRR39326590	0.870998866915673	2	26
SRR39326574	SRR39326590	0.876777441968422	2	27
SRR39326585	SRR39326590	0.883323686820493	2	28
SRR39326563	SRR39326590	0.882120035883674	2	29
SRR39326606	SRR39326590	0.840204167849456	2	30
SRR39326549	SRR39326590	0.850862766384606	2	31
SRR39326605	SRR39326590	0.834333275738295	2	32
SRR39326602	SRR39326590	0.865301536354929	2	33
SRR39326552	SRR39326590	0.871365201384189	2	34
SRR39326550	SRR39326590	0.866812683034338	2	35
SRR39326604	SRR39326590	0.87654196800214	2	36
SRR39326568	SRR39326590	0.865359017834787	2	37
SRR39326559	SRR39326590	0.903530661216379	2	38
SRR39326562	SRR39326590	0.87772472692636	2	39
SRR39326565	SRR39326590	0.877131840936215	2	40
SRR39326564	SRR39326590	0.886203351660215	2	41
SRR39326567	SRR39326590	0.882638342921898	2	42
SRR39326566	SRR39326590	0.889644572891318	2	43
SRR39326561	SRR39326590	0.898585918471509	2	44
SRR39326560	SRR39326590	0.897607447292282	2	45
SRR39326583	SRR39326590	0.856851168347636	2	46
SRR39326584	SRR39326590	0.864520204375805	2	47
SRR39326582	SRR39326590	0.868292207626273	2	48
SRR39326575	SRR39326590	0.834712165542309	2	49
SRR39326573	SRR39326590	0.841542390891593	2	50
SRR39326572	SRR39326590	0.831427041906301	2	51
SRR39326577	SRR39326590	0.872982835204589	2	52
SRR39326570	SRR39326590	0.840898079810776	2	53
SRR39326571	SRR39326590	0.849804207289685	2	54
SRR39326569	SRR39326590	0.831530178048184	2	55
SRR39326580	SRR39326590	0.84763751086856	2	56
SRR39326579	SRR39326590	0.860390548627617	2	57
SRR39326576	SRR39326590	0.867078992529011	2	58
SRR39326581	SRR39326590	0.86974307074725	2	59
SRR39326578	SRR39326590	0.8614445691191	2	60
SRR39326587	SRR39326589	0.968709793249432	3	1
SRR39326590	SRR39326589	0.986105278196221	3	2
SRR39326589	SRR39326589	1	3	3
SRR39326591	SRR39326589	0.973568584343115	3	4
SRR39326588	SRR39326589	0.971337385693329	3	5
SRR39326586	SRR39326589	0.973527802148075	3	6
SRR39326556	SRR39326589	0.935770236285256	3	7
SRR39326558	SRR39326589	0.932075972086669	3	8
SRR39326557	SRR39326589	0.934602162265958	3	9
SRR39326553	SRR39326589	0.924905408878512	3	10
SRR39326555	SRR39326589	0.927790616741576	3	11
SRR39326554	SRR39326589	0.922883939487853	3	12
SRR39326598	SRR39326589	0.886052604670765	3	13
SRR39326595	SRR39326589	0.88751362343975	3	14
SRR39326601	SRR39326589	0.914218409732692	3	15
SRR39326597	SRR39326589	0.911781248608839	3	16
SRR39326600	SRR39326589	0.909169520244986	3	17
SRR39326599	SRR39326589	0.915441247301608	3	18
SRR39326593	SRR39326589	0.918644821958286	3	19
SRR39326594	SRR39326589	0.937511169202741	3	20
SRR39326592	SRR39326589	0.948064569253431	3	21
