run_accession	PC1	PC2	cultivar	condition	time_index	collection_date	replicate
SRR39326568	-1.58239251052229	21.6038048793745	Brianna	Controlled_4C	0	2018-11-20	1
SRR39326567	3.38636285070065	23.0119922146327	Brianna	Controlled_4C	0	2018-11-20	2
SRR39326566	4.96661582012811	27.0219483424701	Brianna	Controlled_4C	0	2018-11-20	3
SRR39326565	0.528706594901188	28.8394751822821	Brianna	Controlled_4C	1	2018-12-28	1
SRR39326564	-0.164451021309481	26.5506208441564	Brianna	Controlled_4C	1	2018-12-28	2
SRR39326562	3.26940639526617	30.4826689133654	Brianna	Controlled_4C	1	2018-12-28	3
SRR39326561	7.97411675025807	23.1315152826945	Brianna	Controlled_4C	2	2019-01-13	1
SRR39326560	12.7355385881757	24.8222277715144	Brianna	Controlled_4C	2	2019-01-13	2
SRR39326559	15.0849563603754	17.9359727876619	Brianna	Controlled_4C	2	2019-01-13	3
SRR39326558	56.9939428416518	6.47000059629006	Brianna	Controlled_4C	3	2019-02-12	1
SRR39326557	53.7475883530367	7.66760127182096	Brianna	Controlled_4C	3	2019-02-12	2
SRR39326556	45.9134158659632	7.11795750072724	Brianna	Controlled_4C	3	2019-02-12	3
SRR39326555	62.7030635190663	6.1109425989989	Brianna	Controlled_4C	4	2019-03-04	1
SRR39326554	58.1381155536791	7.98495385414498	Brianna	Controlled_4C	4	2019-03-04	2
SRR39326553	54.9174843475905	7.25507343186506	Brianna	Controlled_4C	4	2019-03-04	3
SRR39326584	-4.44867558838664	26.2003437280448	Brianna	Natural	0	2018-11-20	1
SRR39326583	2.04688969039606	35.3705785332131	Brianna	Natural	0	2018-11-20	2
SRR39326582	0.974682073694458	30.015260510502	Brianna	Natural	0	2018-11-20	3
SRR39326581	-15.1416877685938	22.5526027416343	Brianna	Natural	1	2018-12-27	1
SRR39326580	-17.2993375565568	22.6987324098101	Brianna	Natural	1	2018-12-27	2
SRR39326579	-17.4985173216831	23.1109726857948	Brianna	Natural	1	2018-12-27	3
SRR39326578	-21.22957485479	20.45119880311	Brianna	Natural	2	2019-01-13	1
SRR39326577	-14.2250408243703	13.1543517824832	Brianna	Natural	2	2019-01-13	2
SRR39326576	-18.7844144934827	23.0229545031473	Brianna	Natural	2	2019-01-13	3
SRR39326575	-28.3139647099471	21.0109775249133	Brianna	Natural	3	2019-02-12	1
SRR39326573	-26.7119306216751	16.6389238980093	Brianna	Natural	3	2019-02-12	2
SRR39326572	-29.8496775725128	17.7132320312432	Brianna	Natural	3	2019-02-12	3
SRR39326571	-24.6486342694403	15.2074489041006	Brianna	Natural	4	2019-03-04	1
SRR39326570	-27.9992798174003	18.1497721743632	Brianna	Natural	4	2019-03-04	2
SRR39326569	-29.8832254190465	15.4333055182091	Brianna	Natural	4	2019-03-04	3
SRR39326601	2.66513944941815	-18.4187754877651	Marquette	Controlled_4C	0	2018-11-20	1
SRR39326600	1.97733139564345	-19.9197887376465	Marquette	Controlled_4C	0	2018-11-20	2
SRR39326599	3.34476473628084	-20.3843909073346	Marquette	Controlled_4C	0	2018-11-20	3
SRR39326598	-6.5919900829153	-18.4093049865332	Marquette	Controlled_4C	1	2018-12-28	1
SRR39326597	0.722784043956641	-20.2697350804883	Marquette	Controlled_4C	1	2018-12-28	2
SRR39326595	-5.78435942960438	-18.2849492880876	Marquette	Controlled_4C	1	2018-12-28	3
SRR39326594	12.4459482970158	-20.3874738735919	Marquette	Controlled_4C	2	2019-01-12	1
SRR39326593	6.90458535953598	-22.7532387805557	Marquette	Controlled_4C	2	2019-01-12	2
SRR39326592	16.3107752589106	-20.5671899038888	Marquette	Controlled_4C	2	2019-01-12	3
SRR39326591	39.0791487740217	-22.4410152689683	Marquette	Controlled_4C	3	2019-02-12	1
SRR39326590	35.8763166672934	-18.8235142118186	Marquette	Controlled_4C	3	2019-02-12	2
SRR39326589	41.909871613312	-19.4648312172926	Marquette	Controlled_4C	3	2019-02-12	3
SRR39326588	53.372993120357	-21.298895885265	Marquette	Controlled_4C	4	2019-03-04	1
SRR39326587	45.2264249151164	-18.286615302276	Marquette	Controlled_4C	4	2019-03-04	2
SRR39326586	54.1991897379549	-21.7455089751435	Marquette	Controlled_4C	4	2019-03-04	3
SRR39326608	-24.6054835279521	-12.1136024571802	Marquette	Natural	0	2018-11-20	1
SRR39326607	-22.9097662179872	-14.1098006627241	Marquette	Natural	0	2018-11-20	2
SRR39326596	-22.5705902616346	-13.0282542173468	Marquette	Natural	0	2018-11-20	3
SRR39326585	-26.3930903928948	-16.5285434465688	Marquette	Natural	1	2018-12-27	1
SRR39326574	-25.6557892820414	-16.9611836146273	Marquette	Natural	1	2018-12-27	2
SRR39326563	-25.224592078666	-15.9539032095967	Marquette	Natural	1	2018-12-27	3
SRR39326552	-25.7122065636409	-22.553404414581	Marquette	Natural	2	2019-01-12	1
SRR39326551	-24.6052796187938	-20.2236029987697	Marquette	Natural	2	2019-01-12	2
SRR39326550	-28.8438671634981	-20.8860782396536	Marquette	Natural	2	2019-01-12	3
SRR39326549	-30.9543129447396	-23.8804574200294	Marquette	Natural	3	2019-02-12	1
SRR39326606	-33.4189465094931	-24.5123503501639	Marquette	Natural	3	2019-02-12	2
SRR39326605	-33.9249139790807	-24.7585423887775	Marquette	Natural	3	2019-02-12	3
SRR39326604	-26.3662839342621	-21.1211541077297	Marquette	Natural	4	2019-03-04	1
SRR39326603	-28.1204172171789	-15.6376884845728	Marquette	Natural	4	2019-03-04	2
SRR39326602	-27.9534654196	-23.0136173016001	Marquette	Natural	4	2019-03-04	3
