gene_id	Cultivar × condition × time	Brianna condition × time	Marquette condition × time
	TRUE	TRUE	TRUE
Vitvi00g00813	TRUE	TRUE	TRUE
Vitvi00g00869	FALSE	TRUE	TRUE
Vitvi00g00897	FALSE	TRUE	FALSE
Vitvi00g00922	TRUE	TRUE	FALSE
Vitvi00g00935	FALSE	TRUE	FALSE
Vitvi00g00936	FALSE	FALSE	TRUE
Vitvi00g00989	TRUE	TRUE	TRUE
Vitvi00g00994	FALSE	TRUE	FALSE
Vitvi00g01022	FALSE	TRUE	TRUE
Vitvi00g01047	FALSE	FALSE	TRUE
Vitvi00g01048	FALSE	TRUE	FALSE
Vitvi00g01098	TRUE	TRUE	TRUE
Vitvi00g01805	FALSE	FALSE	TRUE
Vitvi00g01999	TRUE	FALSE	TRUE
Vitvi00g02146	TRUE	TRUE	FALSE
Vitvi00g02161	FALSE	TRUE	TRUE
Vitvi00g02173	FALSE	TRUE	TRUE
Vitvi00g02222	FALSE	TRUE	TRUE
Vitvi00g02269	FALSE	TRUE	TRUE
Vitvi00g02270	FALSE	TRUE	TRUE
Vitvi00g02289	FALSE	TRUE	TRUE
Vitvi00g02347	FALSE	FALSE	TRUE
Vitvi01g00005	FALSE	TRUE	FALSE
Vitvi01g00006	FALSE	TRUE	FALSE
Vitvi01g00023	FALSE	TRUE	TRUE
Vitvi01g00029	FALSE	TRUE	FALSE
Vitvi01g00033	FALSE	TRUE	TRUE
Vitvi01g00034	FALSE	TRUE	TRUE
Vitvi01g00035	FALSE	TRUE	FALSE
Vitvi01g00037	TRUE	TRUE	TRUE
Vitvi01g00038	TRUE	TRUE	FALSE
Vitvi01g00042	FALSE	TRUE	FALSE
Vitvi01g00048	FALSE	TRUE	TRUE
Vitvi01g00049	FALSE	TRUE	TRUE
Vitvi01g00051	TRUE	TRUE	TRUE
Vitvi01g00060	FALSE	TRUE	TRUE
Vitvi01g00061	FALSE	TRUE	TRUE
Vitvi01g00062	FALSE	TRUE	FALSE
Vitvi01g00071	FALSE	TRUE	TRUE
Vitvi01g00076	FALSE	TRUE	FALSE
Vitvi01g00080	FALSE	TRUE	FALSE
Vitvi01g00085	TRUE	FALSE	FALSE
Vitvi01g00087	FALSE	TRUE	TRUE
Vitvi01g00091	FALSE	TRUE	FALSE
Vitvi01g00094	FALSE	FALSE	TRUE
Vitvi01g00098	FALSE	TRUE	FALSE
Vitvi01g00099	FALSE	TRUE	FALSE
Vitvi01g00100	FALSE	TRUE	FALSE
Vitvi01g00103	TRUE	TRUE	FALSE
Vitvi01g00108	FALSE	TRUE	TRUE
Vitvi01g00111	FALSE	TRUE	TRUE
Vitvi01g00112	FALSE	TRUE	TRUE
Vitvi01g00113	FALSE	FALSE	TRUE
Vitvi01g00116	TRUE	TRUE	FALSE
Vitvi01g00119	FALSE	TRUE	FALSE
Vitvi01g00120	FALSE	TRUE	FALSE
Vitvi01g00121	FALSE	TRUE	FALSE
Vitvi01g00128	FALSE	FALSE	TRUE
Vitvi01g00130	FALSE	TRUE	TRUE
Vitvi01g00131	FALSE	TRUE	TRUE
Vitvi01g00134	FALSE	TRUE	TRUE
Vitvi01g00138	TRUE	TRUE	FALSE
Vitvi01g00139	FALSE	TRUE	FALSE
Vitvi01g00142	FALSE	TRUE	TRUE
Vitvi01g00149	FALSE	TRUE	TRUE
Vitvi01g00152	TRUE	TRUE	TRUE
Vitvi01g00155	FALSE	TRUE	TRUE
Vitvi01g00156	FALSE	TRUE	TRUE
Vitvi01g00161	FALSE	TRUE	FALSE
Vitvi01g00165	FALSE	TRUE	TRUE
Vitvi01g00168	FALSE	TRUE	FALSE
Vitvi01g00170	FALSE	FALSE	TRUE
