label	module_color	estimate	lo	hi	refit
Vitvi08g00761 (G2-like) KO	blue	0.0491212940459263	0.0480288294465132	0.0500703337453068	Three tree seeds
Vitvi08g00761 (G2-like) KD50	blue	0.0485571290678825	0.0466988510362048	0.0501357511798076	Three tree seeds
Vitvi13g00639 (HD-ZIP) OE1SD	blue	0.0304746706350718	0.0263474089749227	0.0345711624676161	Three tree seeds
Vitvi05g00053 (ERF) OE1SD	turquoise	0.0296730844648258	0.0270236349879614	0.0319476499779597	Three tree seeds
Vitvi13g00563 (AP2) KD50	turquoise	0.0291954833198456	0.0275248736786645	0.0306954949558562	Three tree seeds
Vitvi13g00563 (AP2) KO	turquoise	0.0291954833198456	0.0275248736786645	0.0306954949558562	Three tree seeds
Vitvi13g00639 (HD-ZIP) KD50	blue	-0.034993297275073	-0.0363263711644137	-0.0341896489460531	Three tree seeds
Vitvi13g00639 (HD-ZIP) KO	blue	-0.034993297275073	-0.0363263711644137	-0.0341896489460531	Three tree seeds
Vitvi08g00761 (G2-like) KO	blue	0.0416585763913984	0.0151498530011074	0.0566643368572304	Four leave-one-variety refits
Vitvi08g00761 (G2-like) KD50	blue	0.0430218096029005	0.0211469968419216	0.056728927407401	Four leave-one-variety refits
Vitvi13g00639 (HD-ZIP) OE1SD	blue	0.025403838852596	0.013288897792079	0.0320935311796172	Four leave-one-variety refits
Vitvi05g00053 (ERF) OE1SD	turquoise	0.0297386983224137	0.00841440696559567	0.0486608863154903	Four leave-one-variety refits
Vitvi13g00563 (AP2) KD50	turquoise	0.0271276025195906	0.0201670145872259	0.0354009361170153	Four leave-one-variety refits
Vitvi13g00563 (AP2) KO	turquoise	0.0271276025195906	0.0201670145872259	0.0354009361170153	Four leave-one-variety refits
Vitvi13g00639 (HD-ZIP) KD50	blue	-0.0308134596004089	-0.040249754230765	-0.0110730902246555	Four leave-one-variety refits
Vitvi13g00639 (HD-ZIP) KO	blue	-0.0308134596004089	-0.040249754230765	-0.0110730902246555	Four leave-one-variety refits
