gene_id	tf_family	module_color	scenario	forest_alignment_mean	sparse_alignment	robust_computational_hit	leave_one_direction_stable	global_effect_rms_z	permutation_fdr
Vitvi08g00761	G2-like	blue	KO	0.0491212940459263	0.447393598368255	TRUE	TRUE	0.0576073105379716	0.00068021544783164
Vitvi08g00761	G2-like	blue	KD50	0.0485571290678825	0.20983008798314	TRUE	TRUE	0.057096414934513	0.00068021544783164
Vitvi13g00639	HD-ZIP	blue	OE1SD	0.0304746706350718	0.0324980004919849	TRUE	TRUE	0.0371858524236405	0.00068021544783164
Vitvi05g00053	ERF	turquoise	OE1SD	0.0296730844648258	0.00915178857372839	TRUE	TRUE	0.0373758064593172	0.00068021544783164
Vitvi13g00563	AP2	turquoise	KD50	0.0291954833198456	0.140816918925808	TRUE	TRUE	0.0406746352982743	0.00068021544783164
Vitvi13g00563	AP2	turquoise	KO	0.0291954833198456	0.198971745405502	TRUE	TRUE	0.0406746352982743	0.00068021544783164
Vitvi08g01863	C3H	turquoise	OE1SD	0.0261112120630952	0.005730399163433	TRUE	FALSE	0.0384246285351826	0.00068021544783164
Vitvi17g00106	MIKC_MADS	blue	KD50	0.0242339723558331	0.0456373257915337	TRUE	TRUE	0.0343888272209489	0.00068021544783164
Vitvi17g00106	MIKC_MADS	blue	KO	0.0242339723558331	0.0857411328494877	TRUE	TRUE	0.0343888272209489	0.00068021544783164
Vitvi18g01144	TALE	turquoise	OE1SD	0.022858861285598	0.00373948567928577	TRUE	FALSE	0.0354931815725869	0.00068021544783164
Vitvi15g01097	NAC	blue	OE1SD	0.0174787218302576	0.00160028526332678	TRUE	TRUE	0.0334873580348366	0.00068021544783164
Vitvi15g01097	NAC	blue	KD50	-0.0075348542161009	-0.00508871896538214	TRUE	FALSE	0.0427583760139139	0.00068021544783164
Vitvi15g01097	NAC	blue	KO	-0.0075348542161009	-0.010672744301737	TRUE	FALSE	0.0427583760139139	0.00195035225749957
Vitvi02g00297	B3	blue	KD50	-0.00869746003535187	-0.309153099830651	TRUE	TRUE	0.0327879391978585	0.00068021544783164
Vitvi02g00297	B3	blue	KO	-0.00869746003535187	-0.533029893830503	TRUE	TRUE	0.0327879391978585	0.00068021544783164
Vitvi16g01444	WRKY	blue	KD50	-0.0106739822677317	-0.158295270163449	TRUE	FALSE	0.0360142570838853	0.00068021544783164
Vitvi16g01444	WRKY	blue	KO	-0.011359394985323	-0.266875294680948	TRUE	TRUE	0.0373687827792103	0.00068021544783164
Vitvi08g01474	HSF	blue	KD50	-0.0117732451631238	-0.0472195541241105	TRUE	TRUE	0.0366573833947214	0.00068021544783164
Vitvi08g01474	HSF	blue	KO	-0.0117732451631238	-0.0808970367705893	TRUE	TRUE	0.0366573833947214	0.00068021544783164
