held_out_variety	gene_id	tf_family	module_color	scenario	trajectory_alignment	label
Vamu	Vitvi05g00053	ERF	turquoise	OE1SD	0.0317428998884496	Vitvi05g00053 OE1SD
Vamu	Vitvi08g00761	G2-like	blue	KO	0.0151498530011074	Vitvi08g00761 KO
Vamu	Vitvi08g00761	G2-like	blue	KD50	0.0211469968419216	Vitvi08g00761 KD50
Vamu	Vitvi13g00563	AP2	turquoise	KO	0.0201670145872259	Vitvi13g00563 KO
Vamu	Vitvi13g00563	AP2	turquoise	KD50	0.0201670145872259	Vitvi13g00563 KD50
Vamu	Vitvi13g00639	HD-ZIP	blue	KO	-0.0110730902246555	Vitvi13g00639 KO
Vamu	Vitvi13g00639	HD-ZIP	blue	KD50	-0.0110730902246555	Vitvi13g00639 KD50
Vamu	Vitvi13g00639	HD-ZIP	blue	OE1SD	0.013288897792079	Vitvi13g00639 OE1SD
Vvcs	Vitvi05g00053	ERF	turquoise	OE1SD	0.0301366001201192	Vitvi05g00053 OE1SD
Vvcs	Vitvi08g00761	G2-like	blue	KO	0.0494226200555265	Vitvi08g00761 KO
Vvcs	Vitvi08g00761	G2-like	blue	KD50	0.0502194954843611	Vitvi08g00761 KD50
Vvcs	Vitvi13g00563	AP2	turquoise	KO	0.0250843271021235	Vitvi13g00563 KO
Vvcs	Vitvi13g00563	AP2	turquoise	KD50	0.0250843271021235	Vitvi13g00563 KD50
Vvcs	Vitvi13g00639	HD-ZIP	blue	KO	-0.0331108661026823	Vitvi13g00639 KO
Vvcs	Vitvi13g00639	HD-ZIP	blue	KD50	-0.0331108661026823	Vitvi13g00639 KD50
Vvcs	Vitvi13g00639	HD-ZIP	blue	OE1SD	0.0320935311796172	Vitvi13g00639 OE1SD
Vvri	Vitvi05g00053	ERF	turquoise	OE1SD	0.00841440696559567	Vitvi05g00053 OE1SD
Vvri	Vitvi08g00761	G2-like	blue	KO	0.0566643368572304	Vitvi08g00761 KO
Vvri	Vitvi08g00761	G2-like	blue	KD50	0.056728927407401	Vitvi08g00761 KD50
Vvri	Vitvi13g00563	AP2	turquoise	KO	0.0354009361170153	Vitvi13g00563 KO
Vvri	Vitvi13g00563	AP2	turquoise	KD50	0.0354009361170153	Vitvi13g00563 KD50
Vvri	Vitvi13g00639	HD-ZIP	blue	KO	-0.040249754230765	Vitvi13g00639 KO
Vvri	Vitvi13g00639	HD-ZIP	blue	KD50	-0.040249754230765	Vitvi13g00639 KD50
Vvri	Vitvi13g00639	HD-ZIP	blue	OE1SD	0.0280065464702524	Vitvi13g00639 OE1SD
Vrip	Vitvi05g00053	ERF	turquoise	OE1SD	0.0486608863154903	Vitvi05g00053 OE1SD
Vrip	Vitvi08g00761	G2-like	blue	KO	0.0453974956517294	Vitvi08g00761 KO
Vrip	Vitvi08g00761	G2-like	blue	KD50	0.0439918186779182	Vitvi08g00761 KD50
Vrip	Vitvi13g00563	AP2	turquoise	KO	0.0278581322719976	Vitvi13g00563 KO
Vrip	Vitvi13g00563	AP2	turquoise	KD50	0.0278581322719976	Vitvi13g00563 KD50
Vrip	Vitvi13g00639	HD-ZIP	blue	KO	-0.038820127843533	Vitvi13g00639 KO
Vrip	Vitvi13g00639	HD-ZIP	blue	KD50	-0.038820127843533	Vitvi13g00639 KD50
Vrip	Vitvi13g00639	HD-ZIP	blue	OE1SD	0.0282263799684354	Vitvi13g00639 OE1SD
