gene_id	tf_family	module_color	scenario	forest_alignment_mean	global_effect_rms_z
Vitvi08g00761	G2-like	blue	KO	0.0491212940459263	0.0576073105379716
Vitvi08g00761	G2-like	blue	KD50	0.0485571290678825	0.057096414934513
Vitvi13g00639	HD-ZIP	blue	OE1SD	0.0304746706350718	0.0371858524236405
Vitvi05g00053	ERF	turquoise	OE1SD	0.0296730844648258	0.0373758064593172
Vitvi13g00563	AP2	turquoise	KD50	0.0291954833198456	0.0406746352982743
Vitvi13g00563	AP2	turquoise	KO	0.0291954833198456	0.0406746352982743
Vitvi17g00106	MIKC_MADS	blue	KD50	0.0242339723558331	0.0343888272209489
Vitvi17g00106	MIKC_MADS	blue	KO	0.0242339723558331	0.0343888272209489
Vitvi15g01097	NAC	blue	OE1SD	0.0174787218302576	0.0334873580348366
Vitvi02g00297	B3	blue	KD50	-0.00869746003535187	0.0327879391978585
Vitvi02g00297	B3	blue	KO	-0.00869746003535187	0.0327879391978585
Vitvi16g01444	WRKY	blue	KO	-0.011359394985323	0.0373687827792103
Vitvi08g01474	HSF	blue	KD50	-0.0117732451631238	0.0366573833947214
Vitvi08g01474	HSF	blue	KO	-0.0117732451631238	0.0366573833947214
Vitvi03g00047	DBB	blue	KD50	-0.0178150147633569	0.0342086617744298
Vitvi03g00047	DBB	blue	KO	-0.0184496221779199	0.0344394095193686
Vitvi15g01115	MYB_related	blue	KD50	-0.019142963733539	0.037457779757967
Vitvi15g01115	MYB_related	blue	KO	-0.019142963733539	0.037457779757967
Vitvi13g00639	HD-ZIP	blue	KD50	-0.034993297275073	0.0500684276048904
Vitvi13g00639	HD-ZIP	blue	KO	-0.034993297275073	0.0500684276048904
