accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes
GSE184114	Acclimation	GSM5578100	Acclimation_Control_0_1	Sample 35_Acclimation_Control_0_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	1	Control	Acclimation	1993540	17711
GSE184114	Acclimation	GSM5578101	Acclimation_Control_0_2	Sample 36_Acclimation_Control_0_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	2	Control	Acclimation	2092552	17680
GSE184114	Acclimation	GSM5578102	Acclimation_Control_0_3	Sample 37_Acclimation_Control_0_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	3	Control	Acclimation	1840999	16717
GSE184114	Acclimation	GSM5578103	Acclimation_Control_0_4	Sample 38_Acclimation_Control_0_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	4	Control	Acclimation	1999694	17501
GSE184114	Acclimation	GSM5578104	Acclimation_Control_0_1	Sample 39_Acclimation_Control_0_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	1	Control	Acclimation	1586426	17017
GSE184114	Acclimation	GSM5578105	Acclimation_Control_0_2	Sample 40_Acclimation_Control_0_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	2	Control	Acclimation	2193964	17703
GSE184114	Acclimation	GSM5578106	Acclimation_Control_0_3	Sample 41_Acclimation_Control_0_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	3	Control	Acclimation	2017076	17735
GSE184114	Acclimation	GSM5578107	Acclimation_Control_0_4	Sample 42_Acclimation_Control_0_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	4	Control	Acclimation	2217761	18040
GSE184114	Acclimation	GSM5578108	Acclimation_Control_2_2	Sample 43_Acclimation_Control_2_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	2	Control	Acclimation	2414909	18265
GSE184114	Acclimation	GSM5578109	Acclimation_Control_2_3	Sample 44_Acclimation_Control_2_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	3	Control	Acclimation	2238365	17878
GSE184114	Acclimation	GSM5578110	Acclimation_Control_2_4	Sample 45_Acclimation_Control_2_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	4	Control	Acclimation	1321798	16798
GSE184114	Acclimation	GSM5578111	Acclimation_ABA_2_1	Sample 46_Acclimation_ABA_2_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	1	ABA	Acclimation	1831002	17378
GSE184114	Acclimation	GSM5578112	Acclimation_ABA_2_2	Sample 47_Acclimation_ABA_2_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	2	ABA	Acclimation	1436339	17044
GSE184114	Acclimation	GSM5578113	Acclimation_ABA_2_3	Sample 48_Acclimation_ABA_2_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	3	ABA	Acclimation	2199812	17932
GSE184114	Acclimation	GSM5578114	Acclimation_ABA_2_4	Sample 49_Acclimation_ABA_2_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	4	ABA	Acclimation	2091957	17656
GSE184114	Acclimation	GSM5578115	Acclimation_Control_4_1	Sample 50_Acclimation_Control_4_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	1	Control	Acclimation	2396613	18269
GSE184114	Acclimation	GSM5578116	Acclimation_Control_4_2	Sample 51_Acclimation_Control_4_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	2	Control	Acclimation	1834436	17756
GSE184114	Acclimation	GSM5578117	Acclimation_Control_4_3	Sample 52_Acclimation_Control_4_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	3	Control	Acclimation	2108476	17815
GSE184114	Acclimation	GSM5578118	Acclimation_Control_4_4	Sample 53_Acclimation_Control_4_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	4	Control	Acclimation	2037306	17804
GSE184114	Acclimation	GSM5578119	Acclimation_ABA_4_1	Sample 54_Acclimation_ABA_4_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	1	ABA	Acclimation	2129426	17694
GSE184114	Acclimation	GSM5578120	Acclimation_ABA_4_2	Sample 55_Acclimation_ABA_4_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	2	ABA	Acclimation	1783931	16904
GSE184114	Acclimation	GSM5578121	Acclimation_ABA_4_3	Sample 56_Acclimation_ABA_4_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	3	ABA	Acclimation	2352150	17950
GSE184114	Acclimation	GSM5578122	Acclimation_ABA_4_4	Sample 57_Acclimation_ABA_4_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	4	hour	4	ABA	Acclimation	2151174	17841
GSE184114	Acclimation	GSM5578123	Acclimation_Control_24_1	Sample 58_Acclimation_Control_24_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	1	Control	Acclimation	2097138	17673
GSE184114	Acclimation	GSM5578124	Acclimation_Control_24_2	Sample 59_Acclimation_Control_24_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	2	Control	Acclimation	2244901	17892
GSE184114	Acclimation	GSM5578125	Acclimation_Control_24_3	Sample 60_Acclimation_Control_24_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	3	Control	Acclimation	2046921	18116
GSE184114	Acclimation	GSM5578126	Acclimation_Control_24_4	Sample 61_Acclimation_Control_24_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	4	Control	Acclimation	1513461	17123
GSE184114	Acclimation	GSM5578127	Acclimation_ABA_24_2	Sample 62_Acclimation_ABA_24_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	2	ABA	Acclimation	1596340	17093
