accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes
GSE277812	raw_counts	GSM8531081	T1_2_1	T1_2_1	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	1	node_2	bud_fertility	40512976	24968
GSE277812	raw_counts	GSM8531082	T1_2_2	T1_2_2	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	2	node_2	bud_fertility	39427753	25123
GSE277812	raw_counts	GSM8531083	T1_2_3	T1_2_3	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	3	node_2	bud_fertility	40094082	25114
GSE277812	raw_counts	GSM8531084	T1_5_1	T1_5_1	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	1	node_5	bud_fertility	41248275	25261
GSE277812	raw_counts	GSM8531085	T1_5_2	T1_5_2	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	2	node_5	bud_fertility	36504528	25002
GSE277812	raw_counts	GSM8531086	T1_5_3	T1_5_3	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	3	node_5	bud_fertility	45013473	25150
GSE277812	raw_counts	GSM8531087	T1_10_1	T1_10_1	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	1	node_10	bud_fertility	42560440	25162
GSE277812	raw_counts	GSM8531088	T1_10_2	T1_10_2	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	2	node_10	bud_fertility	44607840	25065
GSE277812	raw_counts	GSM8531089	T1_10_3	T1_10_3	buds	Vitis vinifera	Merlot	Merlot	BBCH63	BBCH	3	node_10	bud_fertility	46060193	25493
GSE277812	raw_counts	GSM8531090	T2_2_1	T2_2_1	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	1	node_2	bud_fertility	43901184	25382
GSE277812	raw_counts	GSM8531091	T2_2_2	T2_2_2	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	2	node_2	bud_fertility	39511486	25443
GSE277812	raw_counts	GSM8531092	T2_2_3	T2_2_3	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	3	node_2	bud_fertility	39998042	25476
GSE277812	raw_counts	GSM8531093	T2_5_1	T2_5_1	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	1	node_5	bud_fertility	43003629	25619
GSE277812	raw_counts	GSM8531094	T2_5_2	T2_5_2	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	2	node_5	bud_fertility	52887975	25822
GSE277812	raw_counts	GSM8531095	T2_5_3	T2_5_3	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	3	node_5	bud_fertility	53307172	25801
GSE277812	raw_counts	GSM8531096	T2_10_1	T2_10_1	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	1	node_10	bud_fertility	46820046	25589
GSE277812	raw_counts	GSM8531097	T2_10_2	T2_10_2	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	2	node_10	bud_fertility	42550641	25697
GSE277812	raw_counts	GSM8531098	T2_10_3	T2_10_3	buds	Vitis vinifera	Merlot	Merlot	BBCH77	BBCH	3	node_10	bud_fertility	45009412	24149
GSE277812	raw_counts	GSM8531099	T3_2_1	T3_2_1	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	1	node_2	bud_fertility	34531620	24116
GSE277812	raw_counts	GSM8531100	T3_2_2	T3_2_2	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	2	node_2	bud_fertility	37740474	24131
GSE277812	raw_counts	GSM8531101	T3_2_3	T3_2_3	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	3	node_2	bud_fertility	41804783	24240
GSE277812	raw_counts	GSM8531102	T3_5_1	T3_5_1	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	1	node_5	bud_fertility	42331143	24388
GSE277812	raw_counts	GSM8531103	T3_5_2	T3_5_2	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	2	node_5	bud_fertility	41275182	24087
GSE277812	raw_counts	GSM8531104	T3_5_3	T3_5_3	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	3	node_5	bud_fertility	38693758	23793
GSE277812	raw_counts	GSM8531105	T3_10_1	T3_10_1	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	1	node_10	bud_fertility	35341972	24057
GSE277812	raw_counts	GSM8531106	T3_10_2	T3_10_2	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	2	node_10	bud_fertility	38780524	24066
GSE277812	raw_counts	GSM8531107	T3_10_3	T3_10_3	buds	Vitis vinifera	Merlot	Merlot	BBCH90	BBCH	3	node_10	bud_fertility	39427753	25123
