accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE124820	raw_counts	GSM3554450	GSM3554450_D0R1VamuAligned.counts.txt.gz	Day0_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	0	day	1	room_temperature_deacclimation	deacclimation_budbreak	4905106	21290	pass	
GSE124820	raw_counts	GSM3554452	GSM3554452_D0R2VamuAligned.counts.txt.gz	Day0_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	0	day	2	room_temperature_deacclimation	deacclimation_budbreak	12288484	22744	pass	
GSE124820	raw_counts	GSM3554455	GSM3554455_D0R3VamuAligned.counts.txt.gz	Day0_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	0	day	3	room_temperature_deacclimation	deacclimation_budbreak	2310292	16778	watch	library_size_lt_50pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554456	GSM3554456_D0R4VamuAligned.counts.txt.gz	Day0_Rep4_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	0	day	4	room_temperature_deacclimation	deacclimation_budbreak	966695	17646	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554458	GSM3554458_D0R5VamuAligned.counts.txt.gz	Day0_Rep5_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	0	day	5	room_temperature_deacclimation	deacclimation_budbreak	22871870	23607	pass	
GSE124820	raw_counts	GSM3554460	GSM3554460_D1R1VamuAligned.counts.txt.gz	Day1_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	1	day	1	room_temperature_deacclimation	deacclimation_budbreak	12011427	23835	pass	
GSE124820	raw_counts	GSM3554462	GSM3554462_D1R2VamuAligned.counts.txt.gz	Day1_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	1	day	2	room_temperature_deacclimation	deacclimation_budbreak	5669882	21860	pass	
GSE124820	raw_counts	GSM3554464	GSM3554464_D1R3VamuAligned.counts.txt.gz	Day1_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	1	day	3	room_temperature_deacclimation	deacclimation_budbreak	10634849	23120	pass	
GSE124820	raw_counts	GSM3554466	GSM3554466_D2R1VamuAligned.counts.txt.gz	Day2_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	2	day	1	room_temperature_deacclimation	deacclimation_budbreak	12147482	23880	pass	
GSE124820	raw_counts	GSM3554468	GSM3554468_D2R2VamuAligned.counts.txt.gz	Day2_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	2	day	2	room_temperature_deacclimation	deacclimation_budbreak	7231240	22902	pass	
GSE124820	raw_counts	GSM3554470	GSM3554470_D2R3VamuAligned.counts.txt.gz	Day2_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	2	day	3	room_temperature_deacclimation	deacclimation_budbreak	6501783	22653	pass	
GSE124820	raw_counts	GSM3554472	GSM3554472_D3R1VamuAligned.counts.txt.gz	Day3_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	3	day	1	room_temperature_deacclimation	deacclimation_budbreak	11089440	23963	pass	
GSE124820	raw_counts	GSM3554474	GSM3554474_D3R2VamuAligned.counts.txt.gz	Day3_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	3	day	2	room_temperature_deacclimation	deacclimation_budbreak	4249444	22627	pass	
GSE124820	raw_counts	GSM3554476	GSM3554476_D3R3VamuAligned.counts.txt.gz	Day3_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	3	day	3	room_temperature_deacclimation	deacclimation_budbreak	10851129	23946	pass	
GSE124820	raw_counts	GSM3554478	GSM3554478_D4R1VamuAligned.counts.txt.gz	Day4_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	4	day	1	room_temperature_deacclimation	deacclimation_budbreak	4630240	22227	pass	
GSE124820	raw_counts	GSM3554480	GSM3554480_D4R3VamuAligned.counts.txt.gz	Day4_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	4	day	3	room_temperature_deacclimation	deacclimation_budbreak	5227447	22575	pass	
GSE124820	raw_counts	GSM3554481	GSM3554481_D4R4VamuAligned.counts.txt.gz	Day4_Rep4_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	4	day	4	room_temperature_deacclimation	deacclimation_budbreak	16305971	24913	pass	
GSE124820	raw_counts	GSM3554483	GSM3554483_D5R1VamuAligned.counts.txt.gz	Day5_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	5	day	1	room_temperature_deacclimation	deacclimation_budbreak	6673044	23700	pass	
GSE124820	raw_counts	GSM3554484	GSM3554484_D5R2VamuAligned.counts.txt.gz	Day5_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	5	day	2	room_temperature_deacclimation	deacclimation_budbreak	13485453	24075	pass	
GSE124820	raw_counts	GSM3554486	GSM3554486_D5R3VamuAligned.counts.txt.gz	Day5_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	5	day	3	room_temperature_deacclimation	deacclimation_budbreak	9372562	23554	pass	
GSE124820	raw_counts	GSM3554488	GSM3554488_D7R1VamuAligned.counts.txt.gz	Day7_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	7	day	1	room_temperature_deacclimation	deacclimation_budbreak	4225024	22621	pass	
GSE124820	raw_counts	GSM3554490	GSM3554490_D7R2VamuAligned.counts.txt.gz	Day7_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	7	day	2	room_temperature_deacclimation	deacclimation_budbreak	3997835	22283	pass	
GSE124820	raw_counts	GSM3554491	GSM3554491_D7R3VamuAligned.counts.txt.gz	Day7_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	7	day	3	room_temperature_deacclimation	deacclimation_budbreak	6925814	22707	pass	
GSE124820	raw_counts	GSM3554492	GSM3554492_D8R1VamuAligned.counts.txt.gz	Day8_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	8	day	1	room_temperature_deacclimation	deacclimation_budbreak	15685216	25131	pass	
GSE124820	raw_counts	GSM3554494	GSM3554494_D8R2VamuAligned.counts.txt.gz	Day8_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	8	day	2	room_temperature_deacclimation	deacclimation_budbreak	11873473	24520	pass	
GSE124820	raw_counts	GSM3554496	GSM3554496_D8R3VamuAligned.counts.txt.gz	Day8_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	8	day	3	room_temperature_deacclimation	deacclimation_budbreak	7481336	24074	pass	
GSE124820	raw_counts	GSM3554498	GSM3554498_D9R1VamuAligned.counts.txt.gz	Day9_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	9	day	1	room_temperature_deacclimation	deacclimation_budbreak	494964	16712	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554500	GSM3554500_D9R2VamuAligned.counts.txt.gz	Day9_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	9	day	2	room_temperature_deacclimation	deacclimation_budbreak	15343799	24557	pass	
GSE124820	raw_counts	GSM3554502	GSM3554502_D9R3VamuAligned.counts.txt.gz	Day9_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	9	day	3	room_temperature_deacclimation	deacclimation_budbreak	19698747	25216	pass	
GSE124820	raw_counts	GSM3554504	GSM3554504_D10R1VamuAligned.counts.txt.gz	Day10_Rep1_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	10	day	1	room_temperature_deacclimation	deacclimation_budbreak	12599713	22818	pass	
GSE124820	raw_counts	GSM3554506	GSM3554506_D10R2VamuAligned.counts.txt.gz	Day10_Rep2_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	10	day	2	room_temperature_deacclimation	deacclimation_budbreak	3203616	21786	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554508	GSM3554508_D10R3VamuAligned.counts.txt.gz	Day10_Rep3_Vamu	Dormant Bud	Vitis amurensis	PI588635	Vamu	10	day	3	room_temperature_deacclimation	deacclimation_budbreak	16149122	24623	pass	
GSE124820	raw_counts	GSM3554510	GSM3554510_D0R1VvcsAligned.counts.txt.gz	Day0_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	0	day	1	room_temperature_deacclimation	deacclimation_budbreak	7317401	21552	pass	
GSE124820	raw_counts	GSM3554511	GSM3554511_D0R2VvcsAligned.counts.txt.gz	Day0_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	0	day	2	room_temperature_deacclimation	deacclimation_budbreak	5033538	20403	pass	
GSE124820	raw_counts	GSM3554512	GSM3554512_D0R3VvcsAligned.counts.txt.gz	Day0_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	0	day	3	room_temperature_deacclimation	deacclimation_budbreak	18221146	22842	pass	
GSE124820	raw_counts	GSM3554513	GSM3554513_D1R1VvcsAligned.counts.txt.gz	Day1_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	1	day	1	room_temperature_deacclimation	deacclimation_budbreak	6060990	21611	pass	
GSE124820	raw_counts	GSM3554514	GSM3554514_D1R2VvcsAligned.counts.txt.gz	Day1_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	1	day	2	room_temperature_deacclimation	deacclimation_budbreak	3825025	19714	pass	
GSE124820	raw_counts	GSM3554515	GSM3554515_D1R3VvcsAligned.counts.txt.gz	Day1_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	1	day	3	room_temperature_deacclimation	deacclimation_budbreak	7680247	21482	pass	
GSE124820	raw_counts	GSM3554516	GSM3554516_D2R1VvcsAligned.counts.txt.gz	Day2_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	2	day	1	room_temperature_deacclimation	deacclimation_budbreak	5811028	21144	pass	
GSE124820	raw_counts	GSM3554517	GSM3554517_D2R2VvcsAligned.counts.txt.gz	Day2_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	2	day	2	room_temperature_deacclimation	deacclimation_budbreak	3069179	21071	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554518	GSM3554518_D2R3VvcsAligned.counts.txt.gz	Day2_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	2	day	3	room_temperature_deacclimation	deacclimation_budbreak	8066546	21991	pass	
GSE124820	raw_counts	GSM3554519	GSM3554519_D3R1VvcsAligned.counts.txt.gz	Day3_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	3	day	1	room_temperature_deacclimation	deacclimation_budbreak	6210002	22083	pass	
GSE124820	raw_counts	GSM3554520	GSM3554520_D3R2VvcsAligned.counts.txt.gz	Day3_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	3	day	2	room_temperature_deacclimation	deacclimation_budbreak	13967560	23170	pass	
GSE124820	raw_counts	GSM3554521	GSM3554521_D3R3VvcsAligned.counts.txt.gz	Day3_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	3	day	3	room_temperature_deacclimation	deacclimation_budbreak	5140570	21919	pass	
GSE124820	raw_counts	GSM3554522	GSM3554522_D4R1VvcsAligned.counts.txt.gz	Day4_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	4	day	1	room_temperature_deacclimation	deacclimation_budbreak	7746826	23202	pass	
GSE124820	raw_counts	GSM3554523	GSM3554523_D4R2VvcsAligned.counts.txt.gz	Day4_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	4	day	2	room_temperature_deacclimation	deacclimation_budbreak	5151015	19573	pass	
GSE124820	raw_counts	GSM3554524	GSM3554524_D4R3VvcsAligned.counts.txt.gz	Day4_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	4	day	3	room_temperature_deacclimation	deacclimation_budbreak	1638533	20139	fail	library_size_lt_25pct_median
GSE124820	raw_counts	GSM3554525	GSM3554525_D4R4VvcsAligned.counts.txt.gz	Day4_Rep4_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	4	day	4	room_temperature_deacclimation	deacclimation_budbreak	3914891	21628	pass	
GSE124820	raw_counts	GSM3554526	GSM3554526_D5R1VvcsAligned.counts.txt.gz	Day5_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	5	day	1	room_temperature_deacclimation	deacclimation_budbreak	2904482	20680	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554527	GSM3554527_D5R2VvcsAligned.counts.txt.gz	Day5_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	5	day	2	room_temperature_deacclimation	deacclimation_budbreak	9141328	21874	pass	
GSE124820	raw_counts	GSM3554528	GSM3554528_D5R3VvcsAligned.counts.txt.gz	Day5_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	5	day	3	room_temperature_deacclimation	deacclimation_budbreak	1609898	18704	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554529	GSM3554529_D5R4VvcsAligned.counts.txt.gz	Day5_Rep4_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	5	day	4	room_temperature_deacclimation	deacclimation_budbreak	24004069	24485	pass	
GSE124820	raw_counts	GSM3554530	GSM3554530_D5R5VvcsAligned.counts.txt.gz	Day5_Rep5_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	5	day	5	room_temperature_deacclimation	deacclimation_budbreak	1403678	18323	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554531	GSM3554531_D6R1VvcsAligned.counts.txt.gz	Day6_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	6	day	1	room_temperature_deacclimation	deacclimation_budbreak	2309375	19875	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554532	GSM3554532_D6R2VvcsAligned.counts.txt.gz	Day6_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	6	day	2	room_temperature_deacclimation	deacclimation_budbreak	5376136	22303	pass	
GSE124820	raw_counts	GSM3554533	GSM3554533_D6R3VvcsAligned.counts.txt.gz	Day6_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	6	day	3	room_temperature_deacclimation	deacclimation_budbreak	7434802	22359	pass	
GSE124820	raw_counts	GSM3554534	GSM3554534_D6R4VvcsAligned.counts.txt.gz	Day6_Rep4_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	6	day	4	room_temperature_deacclimation	deacclimation_budbreak	7977856	21929	pass	
GSE124820	raw_counts	GSM3554535	GSM3554535_D7R1VvcsAligned.counts.txt.gz	Day7_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	7	day	1	room_temperature_deacclimation	deacclimation_budbreak	8291548	22247	pass	
GSE124820	raw_counts	GSM3554536	GSM3554536_D7R2VvcsAligned.counts.txt.gz	Day7_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	7	day	2	room_temperature_deacclimation	deacclimation_budbreak	878664	15853	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554537	GSM3554537_D7R3VvcsAligned.counts.txt.gz	Day7_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	7	day	3	room_temperature_deacclimation	deacclimation_budbreak	3575749	21042	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554538	GSM3554538_D7R5VvcsAligned.counts.txt.gz	Day7_Rep5_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	7	day	5	room_temperature_deacclimation	deacclimation_budbreak	6638133	21603	pass	
GSE124820	raw_counts	GSM3554539	GSM3554539_D8R1VvcsAligned.counts.txt.gz	Day8_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	8	day	1	room_temperature_deacclimation	deacclimation_budbreak	9000367	23303	pass	
GSE124820	raw_counts	GSM3554540	GSM3554540_D8R2VvcsAligned.counts.txt.gz	Day8_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	8	day	2	room_temperature_deacclimation	deacclimation_budbreak	6165993	22535	pass	
GSE124820	raw_counts	GSM3554541	GSM3554541_D8R3VvcsAligned.counts.txt.gz	Day8_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	8	day	3	room_temperature_deacclimation	deacclimation_budbreak	3967083	21717	pass	
GSE124820	raw_counts	GSM3554542	GSM3554542_D9R1VvcsAligned.counts.txt.gz	Day9_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	9	day	1	room_temperature_deacclimation	deacclimation_budbreak	1566223	18767	fail	library_size_lt_25pct_median;detected_genes_lt_85pct_median
GSE124820	raw_counts	GSM3554543	GSM3554543_D9R2VvcsAligned.counts.txt.gz	Day9_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	9	day	2	room_temperature_deacclimation	deacclimation_budbreak	5987344	22453	pass	
GSE124820	raw_counts	GSM3554544	GSM3554544_D9R3VvcsAligned.counts.txt.gz	Day9_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	9	day	3	room_temperature_deacclimation	deacclimation_budbreak	12929019	24040	pass	
GSE124820	raw_counts	GSM3554545	GSM3554545_D10R2VvcsAligned.counts.txt.gz	Day10_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	10	day	2	room_temperature_deacclimation	deacclimation_budbreak	3834950	21708	pass	
GSE124820	raw_counts	GSM3554546	GSM3554546_D10R3VvcsAligned.counts.txt.gz	Day10_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	10	day	3	room_temperature_deacclimation	deacclimation_budbreak	9578423	23975	pass	
GSE124820	raw_counts	GSM3554547	GSM3554547_D11R1VvcsAligned.counts.txt.gz	Day11_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	11	day	1	room_temperature_deacclimation	deacclimation_budbreak	11213325	22347	pass	
GSE124820	raw_counts	GSM3554548	GSM3554548_D11R2VvcsAligned.counts.txt.gz	Day11_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	11	day	2	room_temperature_deacclimation	deacclimation_budbreak	8268044	23650	pass	
GSE124820	raw_counts	GSM3554549	GSM3554549_D11R3VvcsAligned.counts.txt.gz	Day11_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	11	day	3	room_temperature_deacclimation	deacclimation_budbreak	12491142	24196	pass	
GSE124820	raw_counts	GSM3554550	GSM3554550_D12R1VvcsAligned.counts.txt.gz	Day12_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	12	day	1	room_temperature_deacclimation	deacclimation_budbreak	1822602	20420	watch	library_size_lt_50pct_median
GSE124820	raw_counts	GSM3554551	GSM3554551_D12R2VvcsAligned.counts.txt.gz	Day12_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	12	day	2	room_temperature_deacclimation	deacclimation_budbreak	8736811	23705	pass	
GSE124820	raw_counts	GSM3554552	GSM3554552_D12R3VvcsAligned.counts.txt.gz	Day12_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	12	day	3	room_temperature_deacclimation	deacclimation_budbreak	6304311	23212	pass	
GSE124820	raw_counts	GSM3554553	GSM3554553_D13R1VvcsAligned.counts.txt.gz	Day13_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	13	day	1	room_temperature_deacclimation	deacclimation_budbreak	1529960	20434	fail	library_size_lt_25pct_median
GSE124820	raw_counts	GSM3554554	GSM3554554_D13R2VvcsAligned.counts.txt.gz	Day13_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	13	day	2	room_temperature_deacclimation	deacclimation_budbreak	7797444	23537	pass	
GSE124820	raw_counts	GSM3554555	GSM3554555_D13R3VvcsAligned.counts.txt.gz	Day13_Rep3_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	13	day	3	room_temperature_deacclimation	deacclimation_budbreak	6332902	23269	pass	
GSE124820	raw_counts	GSM3554556	GSM3554556_D14R1VvcsAligned.counts.txt.gz	Day14_Rep1_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	14	day	1	room_temperature_deacclimation	deacclimation_budbreak	10927996	24158	pass	
GSE124820	raw_counts	GSM3554557	GSM3554557_D14R2VvcsAligned.counts.txt.gz	Day14_Rep2_Vvcs	Dormant Bud	Vitis vinifera	Cabernet Sauvignon	Vvcs	14	day	2	room_temperature_deacclimation	deacclimation_budbreak	12015418	24338	pass	
