accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE184114	Deacclimation	GSM5578066	Deacclimation_ABA_12_1	Sample 1_Deacclimation_ABA_12_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	1	ABA	Deacclimation	1676352	18700	pass	
GSE184114	Deacclimation	GSM5578067	Deacclimation_ABA_12_2	Sample 2_Deacclimation_ABA_12_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	2	ABA	Deacclimation	1880368	18879	pass	
GSE184114	Deacclimation	GSM5578068	Deacclimation_ABA_12_3	Sample 3_Deacclimation_ABA_12_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	3	ABA	Deacclimation	1632004	18726	pass	
GSE184114	Deacclimation	GSM5578069	Deacclimation_ABA_24_1	Sample 4_Deacclimation_ABA_24_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	1	ABA	Deacclimation	2164406	19276	pass	
GSE184114	Deacclimation	GSM5578070	Deacclimation_ABA_24_2	Sample 5_Deacclimation_ABA_24_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	2	ABA	Deacclimation	2469261	19586	pass	
GSE184114	Deacclimation	GSM5578071	Deacclimation_ABA_24_3	Sample 6_Deacclimation_ABA_24_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	3	ABA	Deacclimation	2063472	19241	pass	
GSE184114	Deacclimation	GSM5578072	Deacclimation_ABA_48_1	Sample 7_Deacclimation_ABA_48_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	1	ABA	Deacclimation	2086696	19938	pass	
GSE184114	Deacclimation	GSM5578073	Deacclimation_ABA_48_2	Sample 8_Deacclimation_ABA_48_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	2	ABA	Deacclimation	2329979	20159	pass	
GSE184114	Deacclimation	GSM5578074	Deacclimation_ABA_48_3	Sample 9_Deacclimation_ABA_48_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	3	ABA	Deacclimation	2075641	19969	pass	
GSE184114	Deacclimation	GSM5578075	Deacclimation_ABA_6_1	Sample 10_Deacclimation_ABA_6_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	6	hour	1	ABA	Deacclimation	1598497	18743	pass	
GSE184114	Deacclimation	GSM5578076	Deacclimation_ABA_6_2	Sample 11_Deacclimation_ABA_6_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	6	hour	2	ABA	Deacclimation	1761767	18899	pass	
GSE184114	Deacclimation	GSM5578077	Deacclimation_ABA_6_3	Sample 12_Deacclimation_ABA_6_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	6	hour	3	ABA	Deacclimation	1562976	18719	pass	
GSE184114	Deacclimation	GSM5578078	Deacclimation_ABA_72_1	Sample 13_Deacclimation_ABA_72_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	72	hour	1	ABA	Deacclimation	1607442	19875	pass	
GSE184114	Deacclimation	GSM5578079	Deacclimation_ABA_72_2	Sample 14_Deacclimation_ABA_72_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	72	hour	2	ABA	Deacclimation	1803732	20114	pass	
GSE184114	Deacclimation	GSM5578080	Deacclimation_ABA_72_3	Sample 15_Deacclimation_ABA_72_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	72	hour	3	ABA	Deacclimation	1526985	19737	pass	
GSE184114	Deacclimation	GSM5578081	Deacclimation_Control_0_1	Sample 16_Deacclimation_Control_0_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	1	Control	Deacclimation	2131413	19387	pass	
GSE184114	Deacclimation	GSM5578082	Deacclimation_Control_0_2	Sample 17_Deacclimation_Control_0_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	2	Control	Deacclimation	2409865	19575	pass	
GSE184114	Deacclimation	GSM5578083	Deacclimation_Control_0_3	Sample 18_Deacclimation_Control_0_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	0	hour	3	Control	Deacclimation	2167005	19575	pass	
GSE184114	Deacclimation	GSM5578084	Deacclimation_Control_12_1	Sample 19_Deacclimation_Control_12_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	1	Control	Deacclimation	1674905	18729	pass	
GSE184114	Deacclimation	GSM5578085	Deacclimation_Control_12_2	Sample 20_Deacclimation_Control_12_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	2	Control	Deacclimation	1873556	18969	pass	
GSE184114	Deacclimation	GSM5578086	Deacclimation_Control_12_3	Sample 21_Deacclimation_Control_12_3	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	12	hour	3	Control	Deacclimation	1647977	18821	pass	
GSE184114	Deacclimation	GSM5578087	Deacclimation_Control_24_1	Sample 22_Deacclimation_Control_24_1	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	1	Control	Deacclimation	2033086	19091	pass	
GSE184114	Deacclimation	GSM5578088	Deacclimation_Control_24_2	Sample 23_Deacclimation_Control_24_2	bud	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	2	Control	Deacclimation	2335649	19367	pass	
