accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE273240	tetralone_ABA	GSM8424738	Deac1_0d_Control_rep1	Deac1_0d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	Control	Deac1	1432422	18054	pass	
GSE273240	tetralone_ABA	GSM8424739	Deac1_0d_Control_rep2	Deac1_0d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	Control	Deac1	2472362	18650	pass	
GSE273240	tetralone_ABA	GSM8424740	Deac1_0d_Control_rep3	Deac1_0d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	Control	Deac1	2333624	19010	pass	
GSE273240	tetralone_ABA	GSM8424741	Deac1_0d_tetralone-ABA_rep1	Deac1_0d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	tetralone-ABA	Deac1	1908152	18378	pass	
GSE273240	tetralone_ABA	GSM8424742	Deac1_0d_tetralone-ABA_rep2	Deac1_0d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	tetralone-ABA	Deac1	2061918	18533	pass	
GSE273240	tetralone_ABA	GSM8424743	Deac1_0d_tetralone-ABA_rep3	Deac1_0d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	tetralone-ABA	Deac1	1828872	18321	pass	
GSE273240	tetralone_ABA	GSM8424744	Deac1_3d_Control_rep1	Deac1_3d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	Control	Deac1	2894480	19366	pass	
GSE273240	tetralone_ABA	GSM8424745	Deac1_3d_Control_rep2	Deac1_3d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	Control	Deac1	2754082	19273	pass	
GSE273240	tetralone_ABA	GSM8424746	Deac1_3d_Control_rep3	Deac1_3d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	Control	Deac1	3779631	19517	pass	
GSE273240	tetralone_ABA	GSM8424747	Deac1_3d_tetralone-ABA_rep1	Deac1_3d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	tetralone-ABA	Deac1	2909503	18492	pass	
GSE273240	tetralone_ABA	GSM8424748	Deac1_3d_tetralone-ABA_rep2	Deac1_3d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	tetralone-ABA	Deac1	3288931	18849	pass	
GSE273240	tetralone_ABA	GSM8424749	Deac1_3d_tetralone-ABA_rep3	Deac1_3d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	tetralone-ABA	Deac1	1468608	17962	pass	
GSE273240	tetralone_ABA	GSM8424750	Deac1_5d_Control_rep1	Deac1_5d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	5	day	1	Control	Deac1	1836417	18130	pass	
GSE273240	tetralone_ABA	GSM8424751	Deac1_5d_Control_rep2	Deac1_5d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	5	day	2	Control	Deac1	1842689	17594	pass	
GSE273240	tetralone_ABA	GSM8424752	Deac1_5d_Control_rep3	Deac1_5d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	5	day	3	Control	Deac1	2117946	18080	pass	
