matrix_column	sample_accession	matched
GSM3554450_D0R1VamuAligned.counts.txt.gz	GSM3554450	true
GSM3554452_D0R2VamuAligned.counts.txt.gz	GSM3554452	true
GSM3554455_D0R3VamuAligned.counts.txt.gz	GSM3554455	true
GSM3554456_D0R4VamuAligned.counts.txt.gz	GSM3554456	true
GSM3554458_D0R5VamuAligned.counts.txt.gz	GSM3554458	true
GSM3554460_D1R1VamuAligned.counts.txt.gz	GSM3554460	true
GSM3554462_D1R2VamuAligned.counts.txt.gz	GSM3554462	true
GSM3554464_D1R3VamuAligned.counts.txt.gz	GSM3554464	true
GSM3554466_D2R1VamuAligned.counts.txt.gz	GSM3554466	true
GSM3554468_D2R2VamuAligned.counts.txt.gz	GSM3554468	true
GSM3554470_D2R3VamuAligned.counts.txt.gz	GSM3554470	true
GSM3554472_D3R1VamuAligned.counts.txt.gz	GSM3554472	true
GSM3554474_D3R2VamuAligned.counts.txt.gz	GSM3554474	true
GSM3554476_D3R3VamuAligned.counts.txt.gz	GSM3554476	true
GSM3554478_D4R1VamuAligned.counts.txt.gz	GSM3554478	true
GSM3554480_D4R3VamuAligned.counts.txt.gz	GSM3554480	true
GSM3554481_D4R4VamuAligned.counts.txt.gz	GSM3554481	true
GSM3554483_D5R1VamuAligned.counts.txt.gz	GSM3554483	true
GSM3554484_D5R2VamuAligned.counts.txt.gz	GSM3554484	true
GSM3554486_D5R3VamuAligned.counts.txt.gz	GSM3554486	true
GSM3554488_D7R1VamuAligned.counts.txt.gz	GSM3554488	true
GSM3554490_D7R2VamuAligned.counts.txt.gz	GSM3554490	true
GSM3554491_D7R3VamuAligned.counts.txt.gz	GSM3554491	true
GSM3554492_D8R1VamuAligned.counts.txt.gz	GSM3554492	true
GSM3554494_D8R2VamuAligned.counts.txt.gz	GSM3554494	true
GSM3554496_D8R3VamuAligned.counts.txt.gz	GSM3554496	true
GSM3554498_D9R1VamuAligned.counts.txt.gz	GSM3554498	true
GSM3554500_D9R2VamuAligned.counts.txt.gz	GSM3554500	true
GSM3554502_D9R3VamuAligned.counts.txt.gz	GSM3554502	true
GSM3554504_D10R1VamuAligned.counts.txt.gz	GSM3554504	true
GSM3554506_D10R2VamuAligned.counts.txt.gz	GSM3554506	true
GSM3554508_D10R3VamuAligned.counts.txt.gz	GSM3554508	true
GSM3554510_D0R1VvcsAligned.counts.txt.gz	GSM3554510	true
GSM3554511_D0R2VvcsAligned.counts.txt.gz	GSM3554511	true
GSM3554512_D0R3VvcsAligned.counts.txt.gz	GSM3554512	true
GSM3554513_D1R1VvcsAligned.counts.txt.gz	GSM3554513	true
GSM3554514_D1R2VvcsAligned.counts.txt.gz	GSM3554514	true
GSM3554515_D1R3VvcsAligned.counts.txt.gz	GSM3554515	true
GSM3554516_D2R1VvcsAligned.counts.txt.gz	GSM3554516	true
GSM3554517_D2R2VvcsAligned.counts.txt.gz	GSM3554517	true
GSM3554518_D2R3VvcsAligned.counts.txt.gz	GSM3554518	true
GSM3554519_D3R1VvcsAligned.counts.txt.gz	GSM3554519	true
GSM3554520_D3R2VvcsAligned.counts.txt.gz	GSM3554520	true
GSM3554521_D3R3VvcsAligned.counts.txt.gz	GSM3554521	true
GSM3554522_D4R1VvcsAligned.counts.txt.gz	GSM3554522	true
GSM3554523_D4R2VvcsAligned.counts.txt.gz	GSM3554523	true
GSM3554524_D4R3VvcsAligned.counts.txt.gz	GSM3554524	true
GSM3554525_D4R4VvcsAligned.counts.txt.gz	GSM3554525	true
GSM3554526_D5R1VvcsAligned.counts.txt.gz	GSM3554526	true
GSM3554527_D5R2VvcsAligned.counts.txt.gz	GSM3554527	true
GSM3554528_D5R3VvcsAligned.counts.txt.gz	GSM3554528	true
GSM3554529_D5R4VvcsAligned.counts.txt.gz	GSM3554529	true
GSM3554530_D5R5VvcsAligned.counts.txt.gz	GSM3554530	true
GSM3554531_D6R1VvcsAligned.counts.txt.gz	GSM3554531	true
GSM3554532_D6R2VvcsAligned.counts.txt.gz	GSM3554532	true
GSM3554533_D6R3VvcsAligned.counts.txt.gz	GSM3554533	true
GSM3554534_D6R4VvcsAligned.counts.txt.gz	GSM3554534	true
GSM3554535_D7R1VvcsAligned.counts.txt.gz	GSM3554535	true
GSM3554536_D7R2VvcsAligned.counts.txt.gz	GSM3554536	true
GSM3554537_D7R3VvcsAligned.counts.txt.gz	GSM3554537	true
