matrix_column	sample_accession	matched
Acclimation_Control_0_1	GSM5578100	true
Acclimation_Control_0_2	GSM5578101	true
Acclimation_Control_0_3	GSM5578102	true
Acclimation_Control_0_4	GSM5578103	true
Acclimation_Control_0_1	GSM5578104	true
Acclimation_Control_0_2	GSM5578105	true
Acclimation_Control_0_3	GSM5578106	true
Acclimation_Control_0_4	GSM5578107	true
Acclimation_Control_2_2	GSM5578108	true
Acclimation_Control_2_3	GSM5578109	true
Acclimation_Control_2_4	GSM5578110	true
Acclimation_ABA_2_1	GSM5578111	true
Acclimation_ABA_2_2	GSM5578112	true
Acclimation_ABA_2_3	GSM5578113	true
Acclimation_ABA_2_4	GSM5578114	true
Acclimation_Control_4_1	GSM5578115	true
Acclimation_Control_4_2	GSM5578116	true
Acclimation_Control_4_3	GSM5578117	true
Acclimation_Control_4_4	GSM5578118	true
Acclimation_ABA_4_1	GSM5578119	true
Acclimation_ABA_4_2	GSM5578120	true
Acclimation_ABA_4_3	GSM5578121	true
Acclimation_ABA_4_4	GSM5578122	true
Acclimation_Control_24_1	GSM5578123	true
Acclimation_Control_24_2	GSM5578124	true
Acclimation_Control_24_3	GSM5578125	true
Acclimation_Control_24_4	GSM5578126	true
Acclimation_ABA_24_2	GSM5578127	true
Acclimation_ABA_24_3	GSM5578128	true
Acclimation_ABA_24_4	GSM5578129	true
Acclimation_Control_48_1	GSM5578130	true
Acclimation_Control_48_2	GSM5578131	true
Acclimation_Control_48_3	GSM5578132	true
Acclimation_Control_48_4	GSM5578133	true
Acclimation_ABA_48_1	GSM5578134	true
Acclimation_ABA_48_2	GSM5578135	true
Acclimation_Control_2_1	GSM5578136	true
Acclimation_ABA_24_1	GSM5578137	true
Acclimation_ABA_48_3	GSM5578138	true
Acclimation_ABA_48_4	GSM5578139	true
