matrix_column	sample_accession	matched
Deacclimation_ABA_12_1	GSM5578066	true
Deacclimation_ABA_12_2	GSM5578067	true
Deacclimation_ABA_12_3	GSM5578068	true
Deacclimation_ABA_24_1	GSM5578069	true
Deacclimation_ABA_24_2	GSM5578070	true
Deacclimation_ABA_24_3	GSM5578071	true
Deacclimation_ABA_48_1	GSM5578072	true
Deacclimation_ABA_48_2	GSM5578073	true
Deacclimation_ABA_48_3	GSM5578074	true
Deacclimation_ABA_6_1	GSM5578075	true
Deacclimation_ABA_6_2	GSM5578076	true
Deacclimation_ABA_6_3	GSM5578077	true
Deacclimation_ABA_72_1	GSM5578078	true
Deacclimation_ABA_72_2	GSM5578079	true
Deacclimation_ABA_72_3	GSM5578080	true
Deacclimation_Control_0_1	GSM5578081	true
Deacclimation_Control_0_2	GSM5578082	true
Deacclimation_Control_0_3	GSM5578083	true
Deacclimation_Control_12_1	GSM5578084	true
Deacclimation_Control_12_2	GSM5578085	true
Deacclimation_Control_12_3	GSM5578086	true
Deacclimation_Control_24_1	GSM5578087	true
Deacclimation_Control_24_2	GSM5578088	true
Deacclimation_Control_24_3	GSM5578089	true
Deacclimation_Control_48_1	GSM5578090	true
Deacclimation_Control_48_2	GSM5578091	true
Deacclimation_Control_48_3	GSM5578092	true
Deacclimation_Control_48_4	GSM5578093	true
Deacclimation_Control_6_1	GSM5578094	true
Deacclimation_Control_6_2	GSM5578095	true
Deacclimation_Control_6_3	GSM5578096	true
Deacclimation_Control_72_1	GSM5578097	true
Deacclimation_Control_72_2	GSM5578098	true
Deacclimation_Control_72_3	GSM5578099	true
