matrix_column	sample_accession	matched
Deac1_0d_Control_rep1	GSM8424738	true
Deac1_0d_Control_rep2	GSM8424739	true
Deac1_0d_Control_rep3	GSM8424740	true
Deac1_0d_tetralone-ABA_rep1	GSM8424741	true
Deac1_0d_tetralone-ABA_rep2	GSM8424742	true
Deac1_0d_tetralone-ABA_rep3	GSM8424743	true
Deac1_3d_Control_rep1	GSM8424744	true
Deac1_3d_Control_rep2	GSM8424745	true
Deac1_3d_Control_rep3	GSM8424746	true
Deac1_3d_tetralone-ABA_rep1	GSM8424747	true
Deac1_3d_tetralone-ABA_rep2	GSM8424748	true
Deac1_3d_tetralone-ABA_rep3	GSM8424749	true
Deac1_5d_Control_rep1	GSM8424750	true
Deac1_5d_Control_rep2	GSM8424751	true
Deac1_5d_Control_rep3	GSM8424752	true
Deac1_5d_tetralone-ABA_rep1	GSM8424753	true
Deac1_5d_tetralone-ABA_rep2	GSM8424754	true
Deac1_5d_tetralone-ABA_rep3	GSM8424755	true
Deac1_7d_Control_rep1	GSM8424756	true
Deac1_7d_Control_rep2	GSM8424757	true
Deac1_7d_Control_rep3	GSM8424758	true
Deac1_7d_tetralone-ABA_rep1	GSM8424759	true
Deac1_7d_tetralone-ABA_rep2	GSM8424760	true
Deac1_7d_tetralone-ABA_rep3	GSM8424761	true
Deac1_14d_Control_rep1	GSM8424762	true
Deac1_14d_Control_rep2	GSM8424763	true
Deac1_14d_Control_rep3	GSM8424764	true
Deac1_14d_tetralone-ABA_rep1	GSM8424765	true
Deac1_14d_tetralone-ABA_rep2	GSM8424766	true
Deac1_14d_tetralone-ABA_rep3	GSM8424767	true
Deac2_0d_Control_rep1	GSM8424768	true
Deac2_0d_Control_rep2	GSM8424769	true
Deac2_0d_Control_rep3	GSM8424770	true
Deac2_0d_tetralone-ABA_rep1	GSM8424771	true
Deac2_0d_tetralone-ABA_rep2	GSM8424772	true
Deac2_0d_tetralone-ABA_rep3	GSM8424773	true
Deac2_3d_tetralone-ABA_rep1	GSM8424774	true
Deac2_3d_tetralone-ABA_rep2	GSM8424775	true
Deac2_3d_tetralone-ABA_rep3	GSM8424776	true
Deac2_3d_Control_rep1	GSM8424777	true
Deac2_3d_Control_rep2	GSM8424778	true
Deac2_3d_Control_rep3	GSM8424779	true
Deac2_5d_Control_rep1	GSM8424780	true
Deac2_5d_Control_rep2	GSM8424781	true
Deac2_5d_Control_rep3	GSM8424782	true
Deac2_5d_tetralone-ABA_rep1	GSM8424783	true
Deac2_5d_tetralone-ABA_rep2	GSM8424784	true
Deac2_5d_tetralone-ABA_rep3	GSM8424785	true
Deac2_7d_tetralone-ABA_rep1	GSM8424786	true
Deac2_7d_tetralone-ABA_rep2	GSM8424787	true
Deac2_7d_tetralone-ABA_rep3	GSM8424788	true
Deac2_7d_Control_rep1	GSM8424789	true
Deac2_7d_Control_rep2	GSM8424790	true
Deac2_7d_Control_rep3	GSM8424791	true
Deac2_14d_Control_rep1	GSM8424792	true
Deac2_14d_Control_rep2	GSM8424793	true
Deac2_14d_Control_rep3	GSM8424794	true
Deac2_14d_tetralone-ABA_rep1	GSM8424795	true
Deac2_14d_tetralone-ABA_rep2	GSM8424796	true
Deac2_14d_tetralone-ABA_rep3	GSM8424797	true
Deac3_0d_Control_rep1	GSM8424798	true
Deac3_0d_Control_rep2	GSM8424799	true
Deac3_0d_Control_rep3	GSM8424800	true
Deac3_0d_tetralone-ABA_rep1	GSM8424801	true
Deac3_0d_tetralone-ABA_rep2	GSM8424802	true
Deac3_0d_tetralone-ABA_rep3	GSM8424803	true
Deac3_3d_Control_rep1	GSM8424804	true
Deac3_3d_Control_rep2	GSM8424805	true
Deac3_3d_Control_rep3	GSM8424806	true
Deac3_3d_tetralone-ABA_rep1	GSM8424807	true
Deac3_3d_tetralone-ABA_rep2	GSM8424808	true
Deac3_3d_tetralone-ABA_rep3	GSM8424809	true
Deac3_5d_Control_rep1	GSM8424810	true
Deac3_5d_Control_rep2	GSM8424811	true
Deac3_5d_Control_rep3	GSM8424812	true
Deac3_5d_tetralone-ABA_rep1	GSM8424813	true
Deac3_5d_tetralone-ABA_rep2	GSM8424814	true
Deac3_5d_tetralone-ABA_rep3	GSM8424815	true
Deac3_7d_Control_rep1	GSM8424816	true
Deac3_7d_Control_rep2	GSM8424817	true
Deac3_7d_Control_rep3	GSM8424818	true
Deac3_7d_tetralone-ABA_rep1	GSM8424819	true
Deac3_7d_tetralone-ABA_rep2	GSM8424820	true
Deac3_7d_tetralone-ABA_rep3	GSM8424821	true
Deac3_14d_Control_rep1	GSM8424822	true
Deac3_14d_Control_rep2	GSM8424823	true
Deac3_14d_Control_rep3	GSM8424824	true
Deac3_14d_tetralone-ABA_rep1	GSM8424825	true
Deac3_14d_tetralone-ABA_rep2	GSM8424826	true
Deac3_14d_tetralone-ABA_rep3	GSM8424827	true
