dataset	sample_id	matrix_column	genotype	condition	context	time	replicate	qc_status	source_file
GSE124820	GSM3554450	GSM3554450_D0R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	0	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554452	GSM3554452_D0R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	0	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554455	GSM3554455_D0R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	0	3	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554456	GSM3554456_D0R4VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	0	4	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554458	GSM3554458_D0R5VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	0	5	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554460	GSM3554460_D1R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	1	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554462	GSM3554462_D1R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	1	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554464	GSM3554464_D1R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	1	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554466	GSM3554466_D2R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	2	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554468	GSM3554468_D2R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	2	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554470	GSM3554470_D2R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	2	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554472	GSM3554472_D3R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	3	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554474	GSM3554474_D3R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	3	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554476	GSM3554476_D3R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	3	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554478	GSM3554478_D4R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	4	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554480	GSM3554480_D4R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	4	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554481	GSM3554481_D4R4VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	4	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554483	GSM3554483_D5R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	5	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554484	GSM3554484_D5R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	5	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554486	GSM3554486_D5R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	5	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554488	GSM3554488_D7R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	7	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554490	GSM3554490_D7R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	7	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554491	GSM3554491_D7R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	7	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554492	GSM3554492_D8R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	8	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554494	GSM3554494_D8R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	8	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554496	GSM3554496_D8R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	8	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554498	GSM3554498_D9R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	9	1	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554500	GSM3554500_D9R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	9	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554502	GSM3554502_D9R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	9	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554504	GSM3554504_D10R1VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	10	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554506	GSM3554506_D10R2VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	10	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554508	GSM3554508_D10R3VamuAligned.counts.txt.gz	Vamu	room_temperature_deacclimation	raw_counts	10	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554510	GSM3554510_D0R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	0	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554511	GSM3554511_D0R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	0	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554512	GSM3554512_D0R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	0	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554513	GSM3554513_D1R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	1	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554514	GSM3554514_D1R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	1	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554515	GSM3554515_D1R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	1	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554516	GSM3554516_D2R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	2	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554517	GSM3554517_D2R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	2	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554518	GSM3554518_D2R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	2	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554519	GSM3554519_D3R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	3	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554520	GSM3554520_D3R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	3	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554521	GSM3554521_D3R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	3	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554522	GSM3554522_D4R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	4	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554523	GSM3554523_D4R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	4	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554524	GSM3554524_D4R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	4	3	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554525	GSM3554525_D4R4VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	4	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554526	GSM3554526_D5R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	5	1	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554527	GSM3554527_D5R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	5	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554528	GSM3554528_D5R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	5	3	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554529	GSM3554529_D5R4VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	5	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554530	GSM3554530_D5R5VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	5	5	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554531	GSM3554531_D6R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	6	1	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554532	GSM3554532_D6R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	6	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554533	GSM3554533_D6R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	6	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554534	GSM3554534_D6R4VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	6	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554535	GSM3554535_D7R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	7	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554536	GSM3554536_D7R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	7	2	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554537	GSM3554537_D7R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	7	3	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554538	GSM3554538_D7R5VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	7	5	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554539	GSM3554539_D8R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	8	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554540	GSM3554540_D8R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	8	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554541	GSM3554541_D8R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	8	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554542	GSM3554542_D9R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	1	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554543	GSM3554543_D9R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554544	GSM3554544_D9R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554545	GSM3554545_D10R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	10	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
